
ENH_SNAVN ENH_SSROBJ_ID ENH_SSR_ID ENH_SNAVN
Øyensskavlen 230980 1011033 Båeriesvaerie
Jøssundvarden 230902 878295 Skaanja-Stoerrevaerie
Sukkertoppen 224602 343519 Gihperegaejsie
Skjækerskaftet 228850 343718 Rihkedetjahke
Storgråhaugen 228867 343716 Durrietjahke
Grønlivatnet 228897 343720 Speallehkenjaevrie
Ståggåelva 228907 1100030 Njaakanjohke
Andorsjøen 232927 234687 Aantesjaevrie
Søre_Gjevsjøhatten 229113 230890 Luspie
Vestre_Akselvatnet 229211 746263 Norrejaevrie
Luru 232551 234312 Låarte
Nordre_Gauptjønnaksla 228927 986026 Raavnejegaejsie
Andorfjellet 232673 746128 Aantesvaerie
Nordre_Gjevsjøhatten 229044 230821 Voenjelåelkie
Plukkutjønnfjellet 228985 230762 Vaalta
Okstjønna 228988 230765 Sarvajaevrie
Langvatnet 228957 230734 Skaalnje
Søre_Gauptjønnaksla 228954 746423 Åarjelgaejsie
Finnhuva 228934 230711 Bielnie
Løysmundhatten 224604 746050 Raassje
Nordre_Gauptjønnaksla 228927 343737 Noerhtegaejsie
Rasmusfjellet 228763 343732 Raastemasten
Rathaugen 228691 343733 Raate
Skjækerhatten 228884 343549 Huvhpie
Tverrfjella 228857 343715 Dåeriesvaerie
Høgsetet 224641 343318 Jalkedsåejjie
Skjækervatnet 224612 343541 Skæhkerenjaevrie
Mefjellet 228829 343731 Tjåalhte
Penningkeisa 229479 721802 Beetnehgaejsie
Godtjørna 229283 231058 Tjuvviejaevrie
Tverrelva 229793 231563 Tjoemenjohke
Killingsnasa 229249 231024 Tjalla
Bjørkvatnet 229311 746387 Såekiejaevrie
Skraptjørnhaugen 229286 231061 Spåajmenraame
Stortissvatnet 233254 235014 Vuallerenjaevrie
Havdalsklumpen 237056 745975 Vaellientjahke
Havdalsvatnet 237016 238757 Haavhtere
Lutra 233210 234970 Bissiedurrienjohke
Luterdalen 233554 745708 Bissiedurrie
Limingelva 237312 239053 Lyjmedenjohke
Linvasselva 237338 239079 Lyjmededaelienjohke
Langvatnet 237315 239056 Guhkiestjonne
Stortangaksla 237302 745985 Guhkiesneesse
Haustmyrberget 237321 239062 Gaskevaartoe
Midtiklumpen 229298 231073 Åakerebahke
Kjerdelsvatnet 233606 745717 Tjieltienjaevrie
Kjerdelsfjellet 233598 745716 Tjieltie
Holmvatnet 233538 235297 Såaloejaevrie
Storbursklumpen 233591 745715 Stråentjie
Akkaklumpen 233542 235301 Raavre
Fjellraudberget 233507 745714 Røøpsvaartoe
Raudbergtjønna 233514 235273 Røøpsjaevrie
Grønliklumpen 233613 235372 Onnetjieltie
Merrafjellet 233584 745713 Mearroeåejjie
Guspiggen 233378 745968 Stoerenjuana
Guselva 233426 235185 Stoerenjuanajohke
Gusvatnet 233399 235158 Stoerenjuananjaevrie
Fossdalsfjellet 233413 745969 Svijne
Devikelva 241446 243176 Duvvienjohke
Devikklumpen 241464 243194 Duvvientjahke
Havdalsfjellet 237046 341509 Vaellie
Limingdalen 241623 243351 Lyjmededaelie
Rødikfjellet 237310 239051 Stoerrevaartoe
Sidesvatnet 241615 243343 Sijliesjaevrie
Finnhusbekken 2625153 1071291 Gåetien-johke
Flyelva 2625141 1071300 Krampan-johke
Havdalselva 237009 238750 Haavhterenjohke
Løysmundklumpen 236947 238688 Fealloetjahke
Steinfjellet 236929 238671 Njoelevaartoe
Strifjellet 229338 231113 Aaretje
Stria 229476 231251 Skrijrenjohke
Fjelløya 229498 745810 Skrijrenjaevrie
Middagsfjellet 229621 231396 Njallevaartoe
Langvatnet 229319 231094 Loevesjaevrie
Haukpiggen 229674 231449 Haepkietjahke
Arvassfjellet 229711 745809 Buvrietjahke
Storåa 229368 231143 Aaresenjohke
Grønflatknulen 229624 231399 Saedtietjaerhvieh
Ramnkrokan 233361 235121 Kråevvie
Hestkjølen 233563 235322 Jijnjevaerie
Austre_Akselvatnet 229219 746265 Pråvhkajaevrie
Vestre_Langvassklumpen 229323 231098 Onne-Giebnie
Berglielva 229240 231015 Ohtjenjuananjohke
Blåfjellhatten 229275 746385 Leastehke
