
ENH_SNAVN ENH_SSROBJ_ID ENH_SSR_ID ENH_SNAVN
Heimdalvatnet 236645 348968 Aajmehtaelienjaevrie
Bjørnurdvatnet 236673 349342 Vuelie-Neessanjaevrie
Heimdalhaugen 236644 348967 Aajmehtaelie
Finntjønna 235512 399913 Såålejaevrie
Kverntjørna 240564 242297 Raavrejaevrie
Finntroppin 240712 242445 Jahtedh
Øysterelva 240568 242301 Åarenhaevtie
Drottendalsfjellet 240498 242231 Åaregaske
Første_Aunvatnet 240586 242319 Vueledsjaevrie
Årfjellet 240596 755717 Stoerretjahke
Nonsvatnet 240526 242259 Stoerrejaevrie
Årkverntjørnin 240605 242338 Snuvrejaevrieh
Kjølstadfjellet 235967 237714 Råantjatjahke
Grøtesådalen 240537 755716 Onneåare
Urddalen 240642 399918 Aektuve
Tredje_Aunvatnet 240549 242282 Bijjemesjaevrie
Andre_Aunvatnet 240579 242312 Gaskejaevrie
Finnkruvatnet 240660 242393 Giedtienjaevrie
Grønningfjella 235523 237272 Guevtele
Mjosundfjellet 240260 1120026 Gaskevarie
Saksdalen 237424 239165 Duvriejælla
Salfjella 235473 237222 Saalenjaarke
Honnavassheia 230653 767204 Tjåerviejaevrievaerie
Honnavatnet 230692 767208 Tjåerviejaevrie
Bogafjellet 240095 1159517 Bovgan-vaerio
Reinbenken 240097 1159510 Bovtse-litnje
Storvatnet 240132 1159504 Stoerre-jaevrie
Fuglstadfjellet 240448 721789 Kjerringtjahke
Finnpertjønna 240242 241977 Pierenjaevrie
Finnkruvatnet 240223 241959 Gaskevaeriengiedtienjaevrie
Sandvassåsen 240149 1159503 Roevpa
Sandvatnet 240150 1159505 Saedtie-jaevrie
Tosen 243330 705227 Dåasa
Øvervatnet 243814 745762 Mehkienjaevrie
Åbjørdalen 243932 245650 Diedtjienvuemie
Kalvelva 243892 245610 Stijkenjeanoe
Bogadalen 243836 245555 Bojje
Granbostadfjellet 243645 245366 Griempenvaerie
Mellavatnet 243890 245608 Skaaloevaajjanjaevrie
Kråfjellet 243960 245678 Beallohkslitnje
Øvrevassnuten 243830 245550 Gaskeriksje
Skråvadalsvatnet 243828 245548 Skråavanjaevrie
Finnlifjellet 243793 245514 Finnlienvaartoe
Grytendalen 243849 245568 Grovhtemehkie
Nilsinetjørnin 243916 245634 Gaelpientjonneh
Kalvfjellelva 243914 245632 Gaelpienjohke
Kalvkruvatnet 243913 245631 Gaelpienjaevrie
Nilsfinndalen 240442 242175 Bueleksjælla
Kvannfjellet 243850 245569 Faatnoevaartoe
Øvre_Kalvvatnet 243872 245591 Gaelmiejaevrie
Åbjørfjellet 243930 245648 Diedtjiennjuenie
Kverntjørna 243926 245644 Goernenjaevrie
Kalvvassdalen 243886 245605 Stijke
Kalvklumpen 243929 245647 Soevesgaejsie
Skredderskardet 243745 245466 Skraateregovre
Ringvatnet_nedre 243888 245606 Ringkenvueliejaevrie
Ringvassdalen 243905 245623 Ringkenlåemie
Ringfossen 243889 245607 Ringkenfuersie
Oksdalen 243903 245621 Oksdaelie
Oksdalsvatnet 243902 245620 Oksdaelienjaevrie
Mellomvatnet 243845 245564 Jarpejaevrie
Åbjøra 243954 245672 Diedtjie
Brennelvdalen 243856 245575 Briennedurrie
Kalvfjellet 243918 245636 Gaelpienguevtele
Kvannelva 243852 245571 Faatnoejohke
Holmvatnet 244455 246166 Såålejaevrie
Austerlia 240438 242171 Såekremeskie
Kvernfjellet 243917 245635 Goernentjahke
Kalvvatnet 243933 245651 Gaejsienjaevrie
Kalvvassfjellet 243875 245594 Vuelieriksje
Nedrevatnet 243854 245573 Spaenjiegaaloenjaevrie
Skråvafjellet 243838 245557 Skråavantjahke
Grytendalsvatnan 243851 245570 Grovhtemehkienjaevrieh
Kløftfjellet 243896 245614 Sloeptjenguevtele
Åbjørvatnet 243749 245470 Diedtjienjaevrie
Nilsfinntjønnin 240806 242538 Bueleksjællanjaevrieh
Nonsfjellet 240499 755715 Joevejællatjahke
Oksen 243869 875173 Vuaksantjahke
Øvre_Ringvatnet 243881 763667 Ringkenjaevrie
Kalklavdalsvatnet 243797 245517 Sealmanjaevrie
Litlskardtinden 249419 251109 Dårretjensnjurhtjie
Velfjorddalen 246534 248244 Baelkiesdurrie
Middagsfjellet 251065 252751 Gaskebiejjiensnjurhtjie
Stigfjellet 249278 250968 Gaskevaerie
Sæterskardet 249327 251017 Seateredurrie
Storvassfjellet 249349 251039 Stoerrevaerie
Vistmannen 249395 251085 Væstangobpe
Austerdalsvatnet 249410 251100 Åarjeljaevrie
Vistkjerringa 249411 745667 Væstangåmma
Vistfjellan 249297 250987 Seaterevaerie
Austerdalsfjellet 249427 745671 Åarjelvaerie
Vefsna 249191 735190 Vaapstenjeanoe
Nordfjellet 249224 764272 Noerhtevaerie
Skardsvatnet 253571 928784 Skaaloejaevrie
Islandstjønna 253709 875775 Dalvesjaevrie
Buksvasselva 253546 255226 Måvhkavaajjanjohke
Fagerslettfjellet 253493 255173 Måvhkatjahke
Buksvatnet 253570 255249 Måvhkajaevrie
Kroktjønna 253638 255317 Maadtegenjaevrie
Hjartfjellet 253641 255320 Jearhta
Herringbotnet 253591 255270 Heerregenmehkie
Sausletta 253400 255081 Gåebriennuelie
Stillvassdalen 253445 255126 Gærhkoevaajja
Langvatnet 249459 251149 Guhkiesjaevrie
Fjellskarddalen 253664 255343 Maadtegenskåarhte
Tolvtuva 253708 255387 Dalvese
Småvassaksla 253705 255384 Baelkiestjåjjoe
Stortovhølan 256743 258415 Vajjan
Holmvatnet 253704 255383 Såålejaevrie
Tørresfjellet 253517 255197 Dåeriesvaerie
Tverrfjellet 253261 254942 Dåeriestjahke
Dårtindan 253185 254866 Dåeriessnjurhtjie
Geittindskardelva 254598 256275 Durrienjohke
Skankkneet 253645 255324 Brovresenåelkie
Storhola 253670 255349 Brovresenvaajja
Brurskanken 253646 255325 Brovrese
Litlskardvatnet 249435 251125 Dårretjenjaevrie
Litlskardet 249429 251119 Dårretje
Tverrelva 251057 252743 Dåeriesjohke
Sirijordaksla 249412 251102 Dåaranjuenie
Fagerjorddalen 249203 250894 Faavroesdurrie
Fagerjordfjellet 249201 250892 Faavroesvaartoe
Steinlikammen 249196 250887 Gierkieåårke
Sørvasselva 249194 250885 Searvoesvuemienjohke
Sæterbekken 249437 251127 Seaterejohke
Svarttjønna 249477 251167 Tjeehpesjaavretje
Langskardet 249895 251584 Stoerremeskie
Blårapopynten 249577 251267 Stoerredalvese
Midttinden 249469 251159 Gaskesnjurhtjie
Blårapa 249575 251265 Blaavebaektie
Holmfjellet 249366 251056 Håalmanvaerie
Velfjordskardelva 249436 251126 Baelkiesdurrienjohke
Storvatnet 249372 251062 Stoerrejaevrie
Kvitfjellenden 249450 251140 Veelkesvaeriennjuenie
Vestertjønna 249373 251063 Vuemiemehkienjaevrie
Tåletjønna 249298 250988 Vaajmoebronte
Vistfjellet 249222 250913 Øørjelsnjurhtjie
Klubbtinden 253690 255369 Tjirrientjahke
Jamtfjelltinden 249487 251177 Njaarkensnjurhtjie
Finnknevatnet 249167 250858 Saemienboelve
Fjellskardelva 249251 250942 Fillenjohke
Stigfjellet 253399 255080 Stijjentjahke
Geittindskardet 253672 255351 Gaejsdurrie
Ølløvtuva 253618 255297 Noerhtetjahke
Almdalsfjellet 253401 255082 Deavstantjahke
Grøvfjellet 249180 745669 Gierkievaerie
Reinfjellet 249479 251169 Raajnevielie
Skrappelfjellet 254200 255879 Skraabpetjahke
Sørvassdalen 251056 252742 Searvoesvuemie
Eiteråfjellet 249304 250994 Daelienjaarke
Brekkfjellet 2206245 341670 Gasketjahke
Finnkåtrabben 253666 875787 Gåetientjåjjoe
Måsskardelva 246520 871450 Sapmedurrienjohke
Middelhavet 249461 871507 Guevtelsjaevrie
Rossvollfjell 249471 871519 Tjuvvelge
Øvre_Fiplingvatnet 243988 760089 Eerhtsjaevrie
Laupskardet 247222 762259 Luspiendurrie
Rørskardet 244009 245726 Raavredendurrie
Majavatnet 244074 245791 Maajehjaevrie
Jervskardklumpen 243983 245700 Klibpie
Finnburshaugen 244022 245739 Joevrehke
Rundfjellet 244008 245725 Jarpetjahke
Bjortjønnmyran 244002 245719 Jannesnjuananvaegkie
Kuvatnet 244032 245749 Guvsehkenjaevrie
Kuklumpen 244055 245772 Guvsehke
Gåsvasselva 247490 249185 Sarvejællanjohke
Svenningdalen 246979 248683 Svætnoevuemie
Storhjortskardet 246917 248621 Raandurrie
Mellingsdalen 243864 245583 Veelnjesvuemie
Mellingsfjellet 244099 245816 Veelnjesvaartoe
Vajavatnet 244072 245789 Vaajjanjaevrie
Sklettfjellet 244068 245785 Urrehketjahke
Orrekvatnet 244105 245822 Urrehkedurrienjaevrie
Orrekskardet 244106 245823 Urrehkedurrie
Simskardet 247068 248769 Sijdurrie
Danielåsen 249857 251546 Beetsetje
Simskardet 247055 248756 Sijdurrie
Langtjønnelva 249708 251398 Årroejaevrienjohke
Aksla 249586 251276 Årjieaesie
Nesttjønna 249773 251463 Vueliejaevrie
Kvigtindaksla 244308 246022 Voenjelåelkie
Kvigtinden 244306 246020 Voenjelensnjurhtjie
Kvigvatnet 244305 246019 Voenjelenjaevrie
Båtskardvatnet 246999 248703 Vinhtsdurrienjaevrie
Åsskardelva 249528 251218 Vaajjanjohke
Åsskardtjønnan 249541 251231 Vaajjanjaevrie
Midtlivatnet 249774 251464 Vaadtijentjænna
Vadfjellet 249776 251466 Vaadtije
Ømmervåkja 249465 251155 Tjåelmie
Krokvatnet 249751 251441 Tjyjsejaevrie
Bergdalskloven 249581 251271 Tjirrehtsskåarhte
Svartvasselva 249529 251219 Tjeehpesjaevrienjohke
Svartvasselva 251084 252769 Tjeehpesjaevrienjohke
Svartvatnet 249812 251501 Tjeehpesjaevrie
Tuva 249830 251519 Staavtjevaartoe
Fatfjellet 246663 248370 Sorretje
Sealmanvatnet 246588 248295 Sealmanjaevrie
Elgfjellet 246611 248318 Sarvenvaartoe
Gåsvasselva 247489 249184 Sarvejællanjohke
Gåsvatnet 246633 248340 Sarvejællanjaevrie
Tortendalen 249608 251298 Råatemelåemie
Rømmarbekken 249710 251400 Rapmerejaevrienjohke
Rømmartjønna 249711 251401 Rapmerejaevrie
Raudvatnet 249562 251252 Raavrejaevrie
Rørskardelva 243993 245710 Raavredendurrienjohke
Stordalsflyin 243899 245617 Njøølvenvealma
Jamtfjellnasen 249560 251250 Njaarkennjuenie
Jamtfjellelva 249515 251205 Njaarkenjohke
Jamtfjelldalstjønna 249468 251158 Njaarkenjaevrie
Jamtfjelldalen 249484 251174 Njaarkegaske
Monshaugan 249672 251362 Monsetjaesie
Måsskardfjellet 244303 246017 Moevstjahke
Majaklumpen 243873 245592 Maajehsnuhkie
Melktjønnbekken 249480 251170 Luspienjohke
Laupskardet_vestre 246967 248671 Luspiendurrie
Sørtjønna 247002 248706 Gåetiebealanjaevrie
Bæråsen 246982 248686 Gyørte
Storvegskardelva 246939 248643 Gyøjnedhdurrienjohke
Storvegskardet 246940 248644 Gyøjnedhdurrie
Smaltjønna 246990 248694 Guhkiesjaevrie
Langskardet 246872 248577 Guhkiesdurrie
Søre_Langtjønna 246945 248649 Guertiesjaevrie
Fisklauselva 249647 251337 Guelehtsjaevrienjohke
Klypfjelltjønnbekken 249466 251156 Glunhkienjohke
Klubbfjelltjønna 253711 255390 Glunhkienjaevrie
Steinfjellbekken 249730 251420 Gierkietjahkenjohke
Storkilen 249817 251506 Giebnievaajja
Søre_Kappskardet 246960 248664 Gaebpiensealma
Storholmen 247078 248779 Eerhtssååle
Fallmoskardelva 249612 251302 Båarhkenjohke
Fallmoskardtjønna 249611 251301 Båarhkenjaevrie
Jervskardtjønna 247071 248772 Båarhkenjaevrie
Melketjønnan 249462 251152 Buhtjemejaevrie
Feitskardvatnet 246537 248247 Buejtiesdurrienjaevrie
Feitskardet 246846 248551 Buejtiesdurrie
Måstjønna 243841 245560 Briennedurrienjaevrie
Granefjellet 249728 251418 Gaajsvearnga
Båtskardryggen 247053 248755 Eerhtslitnje
Tuva 249871 251560 Gaalloe
Pilfjellet 249829 251518 Dårretje
Nedre_Fiplingvatnet 247009 248713 Fijhpelogkoe
Sløkskardet 244030 245747 Vuarpandurrie
Snelitjønna 249732 251422 Båvnetjænna
Klubbfjellet 2547339 992282 Åerjieglunhkie
Holmvatnet 249775 251465 Såålejaevrie
Holmvasselva 251071 252756 Såaloejaevrienjohke
Holmvatnet 249464 251154 Såaloejaevrie
Stortjønna 246980 248684 Guevtelenjaevrie
Kappfjellet 247487 249182 Gaebpie
Båfjellet 246836 248541 Båvloenvaartoe
Tosfjellet 246789 248494 Njueniesvaerie
Storsvenningvatnet 247026 248730 Svijjege
Litlsvenningvatnet 246998 248702 Svijjege
Store_Båtskardfjellet 246988 248692 Vinhtsdurriendalvese
Sefrivatnet 247074 248775 Sohkerde
Storelvdalen 244056 245773 Smeelehmehkie
Storelva 244462 246173 Smeelehjohke
Storelvdalen 244057 245774 Smeelehdurrie
Smalfjellet 244119 245836 Smaalavaartoe
Seterfjellet 244005 245722 Slaateretjahke
Storskardet 244006 245723 Slaaterebåarhke
Rørskardtinden 244013 245730 Raavredentjahke
Jengelvatnet 244153 245870 Giengelvihke
Kappfjellet 243984 245701 Gaebpie
Gaksfjellet 244059 245776 Gaakstjahke
Dorreksskardet 244070 245787 Gaaksdurrie
Dunfjellet 243995 245712 Dåvnes
Tomasvatnet 244064 245781 Dåammajaevrie
Langvatnet 244152 245869 Bliehrehke
Båfjelldalen 246863 248568 Båvloe
Børgefjell 247276 248975 Byrkije
Simskardfjellet 247296 248994 Sijdurrientjahke
Storvatnet 251110 252794 Gabpenjaevrie
Forsenghaugen 249858 251547 Garsbåvne
Store_Holmvatnet 243823 245543 Såålejaevrie
Holmvasselva 243815 245535 Såaloehmehkienjohke
Namnlausa 243805 245525 Årrahguevtelenjaevrie
Kjerringvatnet 247069 248770 Skearoesjaevrie
Fiskelausvatnet 249688 251378 Guelehtsjaevrie
Langtjønna 249687 251377 Årroejaevrie
Nordre_Svartvatnet 249498 251188 Tjeehpesjaevrie
Stortjønna 249807 251496 Guevtelsjaevrie
Litlfjellet 244092 245809 Rånhtjoehvaartoe
Simskardmyra 261362 764140 Sijdurrienvaegkie
Klubbfjellet 253720 992281 Glunhkie
Litleklubben 247116 858576 Suehpedentjahke
Skinnfjellskardet 247099 762258 Råavkoendurrie
Steinfjellet 249767 251457 Dåeriesvaerie
Kvannfjellet 244017 245734 Faatnoevaartoe
Store_Kjukkelfjellet 244121 245838 Tjohkele
Jamtfjellet 249516 251206 Njaarke
Simskardelva 244300 246014 Sijdurrienjohke
Jervskardet 247492 249187 Gierhkiebåarhke
Bisseggskardet 247081 762221 Bissiedurrie
Kvannlia 247072 858498 Eerhtsege
Golverskardelva 247056 858535 Gåelviendurrienjohke
Golverskardet 247048 762266 Gåelviendurrie
Golvernasen 247038 858536 Gåelviennjuenie
Båtskardet 247016 766957 Vinhtsdurrie
Golverfjellet 247013 762216 Gåelvientjahke
Breidskardvatnet 246989 762187 Gabtedurrienjaevrie
Breidskardet 246974 858500 Gabtedurrie
Storfiplingdalen 246955 740392 Feelpehtvuemie
Breidskardfjellet 246952 762217 Gabtedurrientjahke
Kappskardnasen 246919 764444 Gaebpiennjuenie
Kappskardet 247486 858501 Gaebpiendurrie
Jordbruelva 246662 767066 Jienemesdurrienjohke
Vestre_Måsskardvatnet 247320 762241 Moevsdurrienjaevrie
Laupskardvatnet 247259 858543 Luspienjaevrie
Laupskardfjellet 247205 858545 Luspientjahke
Storklumpen 247139 858598 Veangkantjahke
Biseggen 243994 760085 Bissietjahke
Sandskardfjellet 247180 858566 Saedtievaajjantjahke
Sandskardet 247195 858565 Saedtievaajja
Nordre_Bisseggvatnet 244014 760084 Bissiejaevrie
Kvalpskardaksla 247125 875100 Skaarjåelkie
Storvegskardelva 247155 875087 Gyøjnedjohke
Sommarfjellet 247119 248819 Giesievaartoe
Blautvassdalen 247202 248901 Låemie
Susna 247109 248809 Såvsoe
Slettfjellet 247201 248900 Slaktoe
Simskardvatnet 247304 249002 Sijdurrienjaevrie
Tverrelva 247301 248999 Garsjohke
Arefjelltoppen 247330 249028 Aarehvaerie
Vadfjellet 250433 252119 Vaadtije
Stillelva 2431782 875690 Vealma
Hanstinden 247328 249026 Stoerevaerie
Sletthevollan 250759 252445 Jeemetjebåvne
Appfjellet 249651 251341 Aapije
Storvatnet 249734 251424 Stoerrejaevrie
Raudvasselva 249534 251224 Raavrejaevrienjohke
Bekkekløfta 249518 251208 Johkegaske
Geittindskardelva 249488 251178 Durrienjohke
Reinhornvatnet 244317 246031 Aaltoenjaevrie
Virmavatnet 244339 246053 Viermejaevrie
Cevlarsfjellet 244312 246026 Tjeavlarasse
Steintinden 244324 246038 Sjaaretjahke
Steinvatnet 244325 246039 Sjaarejaevrie
Gaukarvatnet 244338 246052 Gievkere
Gæivenåsen 244334 246048 Gievienjuenie
Gapsfjella 244311 246025 Gahpesåejjie
Gammelkallfjellet 244309 246023 Gaellieskodtjejabpe
Tverrelva 244469 246180 Dåeriesjohke
Hundelva 244301 246015 Bienjerejohke
Simskardelva 2415088 858644 Sijdurrienjohke
Bisseggelva 244320 246034 Bissiedurrienjohke
Kroken 247395 249092 Måelhkie
Kniriknollen 247403 249100 Klejvetjåalhte
Harvatnet 247420 249117 Haarrere
Harvassbekken 247415 249112 Haarrerenjohke
Daningen 247398 249095 Daarenege
Krokafjellet 247389 249086 Vielvie
Fisklausvatnet 247385 249082 Guelehtsjaevrie
Grensebekken 247383 249080 Raastejohke
Rotvassbekken 247382 249079 Råaktjoenjohke
Rotvatnet 247379 249076 Råaktjoenjaevrie
Skardvatnet 247345 249043 Durriejaevrie
Arefjellet 247331 249029 Aarehvaerie
Bleriken 251014 252700 Bliehrehke
Hanstinden 251026 252712 Stoerevaerie
Plistertjønnan 251013 252699 Sirrienjaevrie
Risfjellet 250986 252672 Rijsvaerie
Storburstinden 251003 252689 Luspievaerie
Sørtjønnmoen 250971 252657 Njeeruve
Sætertjønnan 250987 252673 Giedtiejaevrieh
Elsvasselva 250541 252227 Aalesjaevrienjohke
Borken 250921 252607 Båarhke
Mosvatnet 250909 252595 Derfiejaevrie
Moskefjellet 250944 252630 Mosketjahke
Pinkelvatnan 250906 252592 Pingkelejaavretjh
Hatten 250551 252237 Aarpije
Gardsmarkelva 251126 252810 Garsejohke
Brundreinklumpen 250898 252584 Serviesbaektie
Grensetjønna 250891 252577 Gåarhtejaevrie
Bukksvatnet 250838 252524 Broehkejaevrie
Fiskløysvatnet 250826 252512 Guelehtsjaevrie
Bolvatnet 254529 256207 Båvloejaevrie
Greipfjellet 254531 256209 Kraejhpievaartoe
Famvatnet 254456 256134 Faepmiejaevrie
Sørbuktelva 254521 256199 Guelehtsjohke
Raudvasselva 254624 256301 Raavrijejohke
Saksenfjellet 244409 246122 Saaksentjahke
Fremstvatnet 244403 246116 Frimhtsjaevrie
Rapestinden 244402 246115 Raehpientjahke
Jofjellet 254517 256195 Joevevaerie
Lintjørna 254441 256119 Guevtelsjaevrie
Brakfjellet 254413 256091 Braahkoevaartoe
Mellavatnet 254396 256074 Råavkoejaevrie
Olfjelltjørna 254388 256066 Maadtegenjaevrie
Vågvatnet 250893 252579 Vaekienjaevrie
Kjukkelelva 244135 245852 Tjohkelenjohke
Tiplingelva 247310 745853 Muerhkienjeanoe
Rainesfjellet 244401 246114 Raajnese
Saksenvatnet 244410 246123 Saaksenjaevrie
Ranserelva 244330 246044 Raentserenjeanoe
Rotnan 244405 246118 Råtnoenjaevrie
Reinfjella 244314 246028 Bovtsetjahke
Amirfjellet 247391 249088 Aemere
Amirfjellet 247344 249042 Aemere
Fisklausfjellet 247378 249075 Njueniesvaerie
Unkervatnet 247085 745783 Åanghkejaevrie
Geittinden 254258 735188 Gaajssnjurhtjie
Geitungen 250002 251689 Loevesgaejsie
Grunntjørna 254278 255957 Gaajsdurrienjaevrie
Snøfjellet 253306 254987 Gasketjahke
Kjerringvatnet 250004 251691 Aahkanjaevrie
Kjerringtinden 254270 255949 Aahkansnjurhtjie
Litltinden 254251 255930 Ohjesnjurhtjie
Røsvatnet 250020 251707 Reevhtse
Elsvatnet 250646 252332 Aalesjaevrie
Slettfjellet 250586 252272 Raavtetje
Arkfjellet 250416 252102 Haerhkie
Fisklausvatnet 250332 252018 Guelehtsjaevrie
Snauryggen 250294 251980 Gabpe
Gryteselva 250519 252205 Grovhtejaevrienjohke
Ostjørndalen 250481 252167 Vealmabåvloe
Grytvatnet_l 250396 252082 Grovhtejaevrie
Reinhorntjørna 250395 252081 Buhtjemejaevrie
Vadfjelltuva 250358 252044 Beaferetjahke
Langtjørna 250325 252011 Sijliesjaevrie
Stillelva 251093 252777 Vealma
Nonstinden 250251 251937 Snjiptje
Akeåsen 250430 252116 Gierehtseaesie
Grubben 250273 251959 Gråbpoe
Krutå 250181 251868 Kruvhtege
Røssvassholmen 250146 251833 Sååle
Vesterbukta 250132 251819 Jillieloekte
Laukskardtjørna 250100 251787 Laavkesentjænna
Laukskardelva 250101 251788 Laavkesendurrienjohke
Ørfjellet 250034 251721 Njeeruvetjahke
Reinmelkartjørna 250030 251717 Buhtjemejaevrie
Steinfjellet 250012 251699 Gierkietjahke
Laukskardet 250010 251697 Laavkesendurrie
Lauktinden 250011 251698 Laavkesensnjurhtjie
Forsmofjellet 250029 251716 Jænsentjahke
Nerlifjellelva 250712 252398 Neljenjohke
Berglihøgda 250741 252427 Jallebierke
Salomonbergan 250686 252372 Snjiptjegietjie
Bjørnskardet 250658 252344 Biernenskaertie
Gryteselvåsen 250626 252312 Grovhtejohkenaesie
Jetnehaken 250815 252501 Jitnaesie
Valmåsen 250639 252325 Vealmantjuvvelge
Kroktjørna 250675 252361 Gurmejaevrie
Krutvatnet 250849 252535 Kruvhtegenjaevrie
Raudvatnet 250887 252573 Raavrejaevrie
Brundreinvatnet 250895 252581 Sarvanjaevrie
Vågfjellet 250885 252571 Vaekie
Greipfjellet 250827 252513 Kraejhpievaartoe
Raudvatnet 254486 256164 Raavrijejaevrie
Storskavlbekken 244307 246021 Sielkenjohke
Grubblandelva 247156 248856 Gråabpoejohke
Litle_Kjukkelen 244322 246036 Onnetjohkele
Steinlægda 244316 246030 Sjaareguevtele
Hattfjelldal 531876 531876 Aarporte
Ørjedalsfjellet 247165 248865 Aarhtsije
Pantdalen 247104 248804 Bantemejælla
Holmvatnet 250915 252601 Såålejaevrie
Nerlifjellet 250692 252378 Nelje
Virmadalen 244347 246061 Viermevuemie
Grøntjørna 253724 928778 Brovresenjaevrie
Ugelvatnet 250427 875682 Snugliejaevrie
Svarttjønna 249692 341671 Grååvejaevrie
Steinkjerka 250905 827792 Pingkele
Reinkalvklumpen 247122 764016 Miesietjahke
Skinnfjellet 247088 764013 Råavkoentjahke
Saivoentinden 247434 875142 Sæjnoetjahke
Galperetinden 247433 875076 Galperentjahke
Drakontinden 247432 764046 Draakonensnjurtjie
Drakonelva 247430 875073 Draakonenjohke
Dikpeelva 247429 875084 Gihpejohke
Voltan 247428 764044 Vaaltanvaartoe
Galpereelva 247426 875075 Galperejohke
Skibekken 247422 875085 Goevtejohke
Valken 247409 875113 Vaalkentjahke
Bleriken 247401 875071 Bliehrehke
Ollekenskardet 247388 825994 Aalletjendurrie
Olleken 247387 825996 Aalletje
Rotfjellet 247375 825988 Råaktjoentjahke
Ritterifjellet 247366 825984 Rihtjeretjahke
Golvertinden 247260 734943 Gåelviensnjurhtjie
Harafjellet 247277 875094 Njåemeletjahke
Golverskardet 247284 875088 Gåelviendurrie
Mjølkelva 247286 763953 Klijviejohke
Reinhagaklumpen 247287 875082 Giedtietjahketje
Mjølkelvskardet 247294 875091 Klivjiedurrie
Legdvatnet 247295 875086 Guevtelsjaevrie
Korpfjellet 247298 875090 Gaarenestjahke
Korpsjøen 247299 875089 Gaarenesjaevrie
Fjellvåktinden 247305 875072 Båajmetje
Nevelva 247311 875093 Njevliejohke
Simlelva 247317 875096 Råtnoenjohke
Lifjellet 254131 255810 Lijkievaerie
Spjeltfjelldalsbekken 258136 259807 Spielhtejohke
Tverrelva 254616 256293 Dåeriesjohke
Gjetarfjellet 254327 256005 Noerhtejierhte
Okstinden 254281 255960 Vuaksantjake
Storelva 254619 256296 Stuhpeljohke
Gresvatnet 258114 259785 Graesiejaevrie
Spjeltfjelldalen 258139 259810 Spielhtebåvloe
Hjartfjellet 254372 256050 Jierhtetjahke
Olfjellet 254368 256046 Ovlevuelie
Artfjellet 254298 255977 Aertegevaerie
Hanskvatnet 254202 255881 Gamhtsjaevrie
Fisklausvatnet 257968 875864 Guelehtsjaevrie
Krabbfjellet 258026 746158 Raavrevaartoe
Kjerringskardet 261090 262754 Aahkagovre
Junkerskardet 261258 262920 Jånghkeregovre
Messingåga 261031 262695 Siejphjohke
Skukken 258083 259754 Skoehtehkevaerie
Junkerfjellet 258161 259832 Jånghkerevaerie
Junkeren 261249 262911 Jånghkere
Litlumvatnet 258221 259892 Jovsjaevrie
Hammarhaugen 258177 259848 Raavrevaartoe
Vegaksla 258170 259841 Plaassanjuenie
Jordbekkvatnan 261108 262771 Gaajsetjenjaevrieh
Blerekvatnan 261178 262841 Plierehkejaevrieh
Kopparskardvatnet 261161 262824 Aajregejaevrie
Småvasselva 257921 259592 Guelehtsjohke
Kopparskardet 261160 262823 Aajregegovre
Kopparen 261159 262822 Aajregetjahke
Kjerringelva 261088 262752 Aahkajohke
Elivollan 261072 262736 Siejphgiedtie
Kallfjellet 261219 262882 Gaallavaartoe
Storaksla 261215 262878 Stoereåelkie
Storakselbekken 261214 262877 Stoereåelkiejohke
Jordbekkvatnet 261107 262770 Jijhtoejaevrie
Kopparvatnet 261147 262810 Kroenesjaevrie
Østerdalsknabben 261208 262871 Gitnertjahke
Småtindan 261101 262764 Gaajsetjh
Melkfjellet 258204 259875 Mealhkoevaartoe
Røysskardet 258192 259863 Movrevaaja
Junkerskardtjønna 258162 259833 Jånghkerejaavretje
Bledikvatnet 258218 259889 Gievrejaevrie
Litlumelva 258211 259882 Gievrejohke
Kvepsendalen 258172 259843 Goepsegovre
Kvepsendalselva 258180 259851 Goepsejohke
Kvepsendalstjønna 258163 259834 Goepsejaevrie
Kufjellet 258186 744439 Goepsetjahke
Ardekfjellet 258173 745574 Aartegevaerie
Båtfjellet 258212 259883 Vinhtsetjahke
Krabbfjellet 258308 259979 Krobpetje
Grønfjellet 261157 262820 Kroenestjahke
Kallvatnet 258158 259829 Gaallajaevrie



