soejedh	soejedh+V+IV+Inf
tåasoeh	tåasoeh+A+Attr
rapsoeh	rapsoeh+A+Attr
råpsoeh	råpsoeh+A+Attr
radtsoeh	radtsoeh+A+Attr
jånhtsoeh	jånhtsoeh+A+Attr
hartsoeh	hartsoeh+A+Attr
hårtsoeh	hårtsoeh+A+Attr
klåabtoeh	klåabtoeh+A+Attr
gaastoeh	gaastoeh+A+Attr
gåavoeh	gåavoeh+A+Attr
laahvoeh	laahvoeh+A+Attr
kråavvoeh	kråavvoeh+A+Attr
sjeavehth	sjeavehth+A+Attr
sjaavohth	sjaavohth+A+Attr
bahhas	bahhas+A+Attr
suajas	suajas+A+Attr
tjeakas	tjeakas+A+Attr
ræjhkas	ræjhkas+A+Attr
jåalhkas	jåalhkas+A+Attr
hearhkas	hearhkas+A+Attr
mævhkas	mævhkas+A+Attr
maskas	maskas+A+Attr
hearskas	hearskas+A+Attr
måskas	måskas+A+Attr
svaalas	svaalas+A+Attr
sæjlas	sæjlas+A+Attr
fraapmas	fraapmas+A+Attr
hajnas	hajnas+A+Attr
nannas	nannas+A+Attr
nænnas	nænnas+A+Attr
låabpas	låabpas+A+Attr
hamhpas	hamhpas+A+Attr
våaras	våaras+A+Attr
seadtas	seadtas+A+Attr
båantas	båantas+A+Attr
prïhtjeds	prïhtjeds+A+Attr
lïebkeds	lïebkeds+A+Attr
smaekeds	smaekeds+A+Attr
njalhkeds	njalhkeds+A+Attr
luvkeds	luvkeds+A+Attr
joeleds	joeleds+A+Attr
njahpeds	njahpeds+A+Attr
snjahpeds	snjahpeds+A+Attr
jemhkelds	jemhkelds+A+Attr
lujjies	lujjies+A+Attr
vissjies	vissjies+A+Attr
prihtjies	prihtjies+A+Attr
traegkies	traegkies+A+Attr
buejkies	buejkies+A+Attr
jåeskies	jåeskies+A+Attr
friskies	friskies+A+Attr
baetskies	baetskies+A+Attr
smaejlies	smaejlies+A+Attr
gijmies	gijmies+A+Attr
sluenies	sluenies+A+Attr
snaehpies	snaehpies+A+Attr
giehpies	giehpies+A+Attr
verries	verries+A+Attr
murries	murries+A+Attr
nievries	nievries+A+Attr
vieksies	vieksies+A+Attr
gåersies	gåersies+A+Attr
låebties	låebties+A+Attr
njuevies	njuevies+A+Attr
gaarkijes	gaarkijes+A+Attr
gearkijes	gearkijes+A+Attr
naaskijes	naaskijes+A+Attr
fååmijes	fååmijes+A+Attr
krobpijes	krobpijes+A+Attr
kraavhpijes	kraavhpijes+A+Attr
tråjjes	tråjjes+A+Attr
göövjes	göövjes+A+Attr
bïegkes	bïegkes+A+Attr
jarhkes	jarhkes+A+Attr
naaskes	naaskes+A+Attr
liskes	liskes+A+Attr
tjoevkes	tjoevkes+A+Attr
skïebtjeles	skïebtjeles+A+Attr
vietjeles	vietjeles+A+Attr
jemhkeles	jemhkeles+A+Attr
naaskeles	naaskeles+A+Attr
voemeles	voemeles+A+Attr
sehpeles	sehpeles+A+Attr
vedteles	vedteles+A+Attr
bïevles	bïevles+A+Attr
doemes	doemes+A+Attr
frååpmes	frååpmes+A+Attr
hearhkoes	hearhkoes+A+Attr
svaaloes	svaaloes+A+Attr
vaajmoes	vaajmoes+A+Attr
låabpoes	låabpoes+A+Attr
haarroes	haarroes+A+Attr
båadtsoes	båadtsoes+A+Attr
dabtoes	dabtoes+A+Attr
båarhtoes	båarhtoes+A+Attr
damtoes	damtoes+A+Attr
båantoes	båantoes+A+Attr
laahvoes	laahvoes+A+Attr
geamhpes	geamhpes+A+Attr
feahperes	feahperes+A+Attr
bohteres	bohteres+A+Attr
boevteres	boevteres+A+Attr
joevteres	joevteres+A+Attr
tjarres	tjarres+A+Attr
veerres	veerres+A+Attr
soptses	soptses+A+Attr
bööntes	bööntes+A+Attr
nuhtegs	nuhtegs+A+Attr
isveligs	isveligs+A+Attr
vyljehks	vyljehks+A+Attr
guelehks	guelehks+A+Attr
vuasehks	vuasehks+A+Attr
saelhtehks	saelhtehks+A+Attr
prïhtjedihks	prïhtjedihks+A+Attr
vadtedihks	vadtedihks+A+Attr
sehpieldihks	sehpieldihks+A+Attr
vååjeldihks	vååjeldihks+A+Attr
gilvelihks	gilvelihks+A+Attr
sjaevehts	sjaevehts+A+Attr
evtebe	evtebe+A+Comp+Attr
uvtebe	uvtebe+A+Comp+Attr
verkebe	verkebe+Adv
kranhtjode	kranhtjode+Adv
hamhpode	hamhpode+Adv
baaktege	baaktege+Adv
isveligkie	isveligkie+Adv
geeruvisnie	geeruvisnie+Adv
aaptsah	aaptsah+Adv
aaptsh	aaptsh+Adv
guarjan	guarjan+Adv
gællan	gællan+Adv
