soejedh	soejedh+V+IV+Inf
tjïelkenidh	tjïelkenidh+V+IV+Inf
jïepkenidh	jïepkenidh+V+IV+Inf
loebpenidh	loebpenidh+V+IV+Inf
tjååhpenidh	tjååhpenidh+V+IV+Inf
hïerpenidh	hïerpenidh+V+IV+Inf
soersenidh	soersenidh+V+IV+Inf
slijhtenidh	slijhtenidh+V+IV+Inf
baektjieridh	baektjieridh+V+IV+Inf
våatjasidh	våatjasidh+V+IV+Inf
tsagkesidh	tsagkesidh+V+IV+Inf
loegkesidh	loegkesidh+V+IV+Inf
lïegkesidh	lïegkesidh+V+IV+Inf
slogkesidh	slogkesidh+V+IV+Inf
lajkesidh	lajkesidh+V+IV+Inf
jarkesidh	jarkesidh+V+IV+Inf
maaskesidh	maaskesidh+V+IV+Inf
gatskesidh	gatskesidh+V+IV+Inf
strovkesidh	strovkesidh+V+IV+Inf
bæktahtidh	bæktahtidh+V+IV+Inf
gasngehtidh	gasngehtidh+V+IV+Inf
vilnjiehtidh	vilnjiehtidh+V+IV+Inf
gemkiehtidh	gemkiehtidh+V+IV+Inf
gevviehtidh	gevviehtidh+V+IV+Inf
njyjjehtidh	njyjjehtidh+V+IV+Inf
moenjehtidh	moenjehtidh+V+IV+Inf
gasnehtidh	gasnehtidh+V+IV+Inf
vïesehtidh	vïesehtidh+V+IV+Inf
gærrastidh	gærrastidh+V+IV+Inf
baeljiestidh	baeljiestidh+V+IV+Inf
klitnjiestidh	klitnjiestidh+V+IV+Inf
struerkiestidh	struerkiestidh+V+IV+Inf
nïegkestidh	nïegkestidh+V+IV+Inf
gïejkestidh	gïejkestidh+V+IV+Inf
gïjkestidh	gïjkestidh+V+IV+Inf
skööpmestidh	skööpmestidh+V+IV+Inf
leajpoestidh	leajpoestidh+V+IV+Inf
gabrestidh	gabrestidh+V+IV+Inf
ståavestidh	ståavestidh+V+IV+Inf
bïjvestidh	bïjvestidh+V+IV+Inf
væssjodh	væssjodh+V+IV+Inf
njalhtjodh	njalhtjodh+V+IV+Inf
måsnodh	måsnodh+V+IV+Inf
tråabpodh	tråabpodh+V+IV+Inf
goejedh	goejedh+V+TV+Inf
laanjedh	laanjedh+V+TV+Inf
plïjhtjedh	plïjhtjedh+V+TV+Inf
tjibkedh	tjibkedh+V+TV+Inf
tjuegkedh	tjuegkedh+V+TV+Inf
vuarhkedh	vuarhkedh+V+TV+Inf
såarhkedh	såarhkedh+V+TV+Inf
vuerhkedh	vuerhkedh+V+TV+Inf
tjööpkedh	tjööpkedh+V+TV+Inf
geerkedh	geerkedh+V+TV+Inf
gurkedh	gurkedh+V+TV+Inf
spïeledh	spïeledh+V+TV+Inf
njalledh	njalledh+V+TV+Inf
steelledh	steelledh+V+TV+Inf
tjulledh	tjulledh+V+TV+Inf
söövledh	söövledh+V+TV+Inf
mååledh	mååledh+V+TV+Inf
tjoemedh	tjoemedh+V+TV+Inf
liemnedh	liemnedh+V+TV+Inf
tjonnedh	tjonnedh+V+TV+Inf
slovhpedh	slovhpedh+V+TV+Inf
tååhpedh	tååhpedh+V+TV+Inf
beejredh	beejredh+V+TV+Inf
lijredh	lijredh+V+TV+Inf
neerredh	neerredh+V+TV+Inf
salsedh	salsedh+V+TV+Inf
tsabtsedh	tsabtsedh+V+TV+Inf
mudtsedh	mudtsedh+V+TV+Inf
tsamtsedh	tsamtsedh+V+TV+Inf
tjaalehtjadtedh	tjaalehtjadtedh+V+TV+Inf
veahkesadtedh	veahkesadtedh+V+TV+Inf
löödtedh	löödtedh+V+TV+Inf
voejtedh	voejtedh+V+TV+Inf
nööktedh	nööktedh+V+TV+Inf
njiltedh	njiltedh+V+TV+Inf
gïertedh	gïertedh+V+TV+Inf
noljedestedh	noljedestedh+V+TV+Inf
guejstedh	guejstedh+V+TV+Inf
madtjelostedh	madtjelostedh+V+TV+Inf
eevedh	eevedh+V+TV+Inf
kreevedh	kreevedh+V+TV+Inf
soelvedh	soelvedh+V+TV+Inf
tjöörvedh	tjöörvedh+V+TV+Inf
jåaskadidh	jåaskadidh+V+TV+Inf
gåajhtsadidh	gåajhtsadidh+V+TV+Inf
gåaltadidh	gåaltadidh+V+TV+Inf
vievliedidh	vievliedidh+V+TV+Inf
diejviedidh	diejviedidh+V+TV+Inf
jïegkedidh	jïegkedidh+V+TV+Inf
nalhkedidh	nalhkedidh+V+TV+Inf
jilhkedidh	jilhkedidh+V+TV+Inf
tjamkedidh	tjamkedidh+V+TV+Inf
njaalmedidh	njaalmedidh+V+TV+Inf
jåaskoedidh	jåaskoedidh+V+TV+Inf
sohpedidh	sohpedidh+V+TV+Inf
spååredidh	spååredidh+V+TV+Inf
moentedidh	moentedidh+V+TV+Inf
mahtjaldidh	mahtjaldidh+V+TV+Inf
gïemhpeldidh	gïemhpeldidh+V+TV+Inf
vïedteldidh	vïedteldidh+V+TV+Inf
nullierdidh	nullierdidh+V+TV+Inf
mæjjasjidh	mæjjasjidh+V+TV+Inf
vaartasjidh	vaartasjidh+V+TV+Inf
veartasjidh	veartasjidh+V+TV+Inf
nogkesjidh	nogkesjidh+V+TV+Inf
knogkesjidh	knogkesjidh+V+TV+Inf
njïhkesjidh	njïhkesjidh+V+TV+Inf
sïhkesjidh	sïhkesjidh+V+TV+Inf
mahtjalidh	mahtjalidh+V+TV+Inf
gorkelidh	gorkelidh+V+TV+Inf
gajhkoelidh	gajhkoelidh+V+TV+Inf
gåaltoelidh	gåaltoelidh+V+TV+Inf
speerrelidh	speerrelidh+V+TV+Inf
sjalkeridh	sjalkeridh+V+TV+Inf
gosteridh	gosteridh+V+TV+Inf
kramhkesidh	kramhkesidh+V+TV+Inf
gævnjahtidh	gævnjahtidh+V+TV+Inf
barhkahtidh	barhkahtidh+V+TV+Inf
gaarkahtidh	gaarkahtidh+V+TV+Inf
njarkahtidh	njarkahtidh+V+TV+Inf
njåarahtidh	njåarahtidh+V+TV+Inf
marrahtidh	marrahtidh+V+TV+Inf
tjåegkiehtidh	tjåegkiehtidh+V+TV+Inf
tsåetskiehtidh	tsåetskiehtidh+V+TV+Inf
jedtiehtidh	jedtiehtidh+V+TV+Inf
biktiehtidh	biktiehtidh+V+TV+Inf
vaestiehtidh	vaestiehtidh+V+TV+Inf
njovhkehtidh	njovhkehtidh+V+TV+Inf
nåvhkehtidh	nåvhkehtidh+V+TV+Inf
jarkehtidh	jarkehtidh+V+TV+Inf
njarkehtidh	njarkehtidh+V+TV+Inf
jïevkehtidh	jïevkehtidh+V+TV+Inf
kradtjoehtidh	kradtjoehtidh+V+TV+Inf
barhkoehtidh	barhkoehtidh+V+TV+Inf
gåvhkoehtidh	gåvhkoehtidh+V+TV+Inf
læhkoehtidh	læhkoehtidh+V+TV+Inf
garkoehtidh	garkoehtidh+V+TV+Inf
gårkoehtidh	gårkoehtidh+V+TV+Inf
jårkoehtidh	jårkoehtidh+V+TV+Inf
njårkoehtidh	njårkoehtidh+V+TV+Inf
gælpoehtidh	gælpoehtidh+V+TV+Inf
njåaroehtidh	njåaroehtidh+V+TV+Inf
doebpehtidh	doebpehtidh+V+TV+Inf
sleegrehtidh	sleegrehtidh+V+TV+Inf
geerrehtidh	geerrehtidh+V+TV+Inf
neerrehtidh	neerrehtidh+V+TV+Inf
marngastidh	marngastidh+V+TV+Inf
naljastidh	naljastidh+V+TV+Inf
jarkastidh	jarkastidh+V+TV+Inf
buarastidh	buarastidh+V+TV+Inf
libnjiestidh	libnjiestidh+V+TV+Inf
gegkiestidh	gegkiestidh+V+TV+Inf
bihkiestidh	bihkiestidh+V+TV+Inf
aejkiestidh	aejkiestidh+V+TV+Inf
njilliestidh	njilliestidh+V+TV+Inf
gupmiestidh	gupmiestidh+V+TV+Inf
mievriestidh	mievriestidh+V+TV+Inf
noljestidh	noljestidh+V+TV+Inf
nuljestidh	nuljestidh+V+TV+Inf
gotnjestidh	gotnjestidh+V+TV+Inf
sïekestidh	sïekestidh+V+TV+Inf
jarkestidh	jarkestidh+V+TV+Inf
tjonnestidh	tjonnestidh+V+TV+Inf
låånestidh	låånestidh+V+TV+Inf
nåljoestidh	nåljoestidh+V+TV+Inf
gåvnjoestidh	gåvnjoestidh+V+TV+Inf
læhkoestidh	læhkoestidh+V+TV+Inf
aalmoestidh	aalmoestidh+V+TV+Inf
våavtsoestidh	våavtsoestidh+V+TV+Inf
sleebpestidh	sleebpestidh+V+TV+Inf
lijrestidh	lijrestidh+V+TV+Inf
maarhvestidh	maarhvestidh+V+TV+Inf
njeajodh	njeajodh+V+TV+Inf
klåvhnjodh	klåvhnjodh+V+TV+Inf
speadtjodh	speadtjodh+V+TV+Inf
bådtjodh	bådtjodh+V+TV+Inf
tjabkodh	tjabkodh+V+TV+Inf
sagkodh	sagkodh+V+TV+Inf
gajhkodh	gajhkodh+V+TV+Inf
båarhkodh	båarhkodh+V+TV+Inf
tjamkodh	tjamkodh+V+TV+Inf
njårkodh	njårkodh+V+TV+Inf
låaskodh	låaskodh+V+TV+Inf
spealodh	spealodh+V+TV+Inf
låabpodh	låabpodh+V+TV+Inf
nærhtodh	nærhtodh+V+TV+Inf
neavhtodh	neavhtodh+V+TV+Inf
vaastodh	vaastodh+V+TV+Inf
sjåavodh	sjåavodh+V+TV+Inf
maarhvodh	maarhvodh+V+TV+Inf
geerje	geerje+A+Sg+Nom
håakene	håakene+A+Sg+Nom
håakan	håakan+A+Sg+Nom
såafa	såafa+N+Sg+Nom
såanga	såanga+N+Sg+Nom
boeltaajja	boelt#aajja+N+Sg+Nom
vaarja	vaarja+N+Sg+Nom
kraassja	kraassja+N+Sg+Nom
båassja	båassja+N+Sg+Nom
njålhtja	njålhtja+N+Sg+Nom
skælhtja	skælhtja+N+Sg+Nom
eanhtja	eanhtja+N+Sg+Nom
skæltja	skæltja+N+Sg+Nom
seahka	seahka+N+Sg+Nom
lahka	lahka+N+Sg+Nom
klahka	klahka+N+Sg+Nom
moeretjåalhka	moere#tjåalhka+N+Sg+Nom
hearhka	hearhka+N+Sg+Nom
gærhka	gærhka+N+Sg+Nom
læhka	læhka+N+Sg+Nom
baajka	baajka+N+Sg+Nom
næjka	næjka+N+Sg+Nom
faarka	faarka+N+Sg+Nom
bearka	bearka+N+Sg+Nom
snarka	snarka+N+Sg+Nom
snårka	snårka+N+Sg+Nom
batska	batska+N+Sg+Nom
naala	naala+N+Sg+Nom
svaala	svaala+N+Sg+Nom
deala	deala+N+Sg+Nom
buala	buala+N+Sg+Nom
daabla	daabla+N+Sg+Nom
bealla	bealla+N+Sg+Nom
fealla	fealla+N+Sg+Nom
faama	faama+N+Sg+Nom
leama	leama+N+Sg+Nom
vaajma	vaajma+N+Sg+Nom
pleajma	pleajma+N+Sg+Nom
gamma	gamma+N+Sg+Nom
slamma	slamma+N+Sg+Nom
beapma	beapma+N+Sg+Nom
gaavma	gaavma+N+Sg+Nom
ratna	ratna+N+Sg+Nom
svætna	svætna+N+Sg+Nom
kravna	kravna+N+Sg+Nom
laamhpa	laamhpa+N+Sg+Nom
stramhpa	stramhpa+N+Sg+Nom
jarhpa	jarhpa+N+Sg+Nom
gampa	gampa+N+Sg+Nom
daara	daara+N+Sg+Nom
sæjra	sæjra+N+Sg+Nom
narra	narra+N+Sg+Nom
snarra	snarra+N+Sg+Nom
hårra	hårra+N+Sg+Nom
neavra	neavra+N+Sg+Nom
maajsa	maajsa+N+Sg+Nom
råaksa	råaksa+N+Sg+Nom
passa	passa+N+Sg+Nom
pååssa	pååssa+N+Sg+Nom
bånhtsa	bånhtsa+N+Sg+Nom
raavsa	raavsa+N+Sg+Nom
seadta	seadta+N+Sg+Nom
gaahta	gaahta+N+Sg+Nom
snahta	snahta+N+Sg+Nom
neajta	neajta+N+Sg+Nom
låajta	låajta+N+Sg+Nom
gæsta	gæsta+N+Sg+Nom
læsta	læsta+N+Sg+Nom
deajva	deajva+N+Sg+Nom
gaarva	gaarva+N+Sg+Nom
jaavva	jaavva+N+Sg+Nom
rotjkede	rotjkede+N+Sg+Nom
jalkede	jalkede+N+Sg+Nom
keeffe	keeffe+N+Sg+Nom
eege	eege+N+Sg+Nom
sluemege	sluemege+N+Sg+Nom
jïermege	jïermege+N+Sg+Nom
sïejpege	sïejpege+N+Sg+Nom
sïhtege	sïhtege+N+Sg+Nom
baaktege	baaktege+N+Sg+Nom
mååktege	mååktege+N+Sg+Nom
györtege	györtege+N+Sg+Nom
jonnge	jonnge+N+Sg+Nom
kaeffie	kaeffie+N+Sg+Nom
arremesijjie	arreme#sijjie+N+Sg+Nom
tsihtsehthmuerjie	tsihtsehth#muerjie+N+Sg+Nom
kraessjie	kraessjie+N+Sg+Nom
låedtjie	låedtjie+N+Sg+Nom
kristaehtjie	krist#aehtjie+N+Sg+Nom
ståeltjie	ståeltjie+N+Sg+Nom
daekie	daekie+N+Sg+Nom
jiehkie	jiehkie+N+Sg+Nom
fliehkie	fliehkie+N+Sg+Nom
moeretsåelhkie	moere#tsåelhkie+N+Sg+Nom
maerhkie	maerhkie+N+Sg+Nom
buejkie	buejkie+N+Sg+Nom
snurkie	snurkie+N+Sg+Nom
maeskie	maeskie+N+Sg+Nom
jåeskie	jåeskie+N+Sg+Nom
avtebielie	avte#bielie+N+Sg+Nom
skiesjlie	skiesjlie+N+Sg+Nom
fellie	fellie+N+Sg+Nom
liejmie	liejmie+N+Sg+Nom
lijmie	lijmie+N+Sg+Nom
rijmie	rijmie+N+Sg+Nom
sliehtie-elmie	sliehtie-elmie+N+Sg+Nom
maejnie	maejnie+N+Sg+Nom
rijnie	rijnie+N+Sg+Nom
svijnie	svijnie+N+Sg+Nom
kristietnie	krist#ietnie+N+Sg+Nom
ruhpie	ruhpie+N+Sg+Nom
nåejpie	nåejpie+N+Sg+Nom
burrie	burrie+N+Sg+Nom
surrie	surrie+N+Sg+Nom
jijsie	jijsie+N+Sg+Nom
fuersie	fuersie+N+Sg+Nom
gåersie	gåersie+N+Sg+Nom
praedtie	praedtie+N+Sg+Nom
snuhtie	snuhtie+N+Sg+Nom
baevtie	baevtie+N+Sg+Nom
heaje	heaje+N+Sg+Nom
daejrije	daejrije+N+Sg+Nom
sujhtije	sujhtije+N+Sg+Nom
majje	majje+N+Sg+Nom
hijje	hijje+N+Sg+Nom
tråjje	tråjje+N+Sg+Nom
moenje	moenje+N+Sg+Nom
satnje	satnje+N+Sg+Nom
faamoje	faamoje+N+Sg+Nom
fïerje	fïerje+N+Sg+Nom
gaarsje	gaarsje+N+Sg+Nom
gaaretje	gaaretje+N+Sg+Nom
rovhtetje	rovhtetje+N+Sg+Nom
plaahtje	plaahtje+N+Sg+Nom
borhtje	borhtje+N+Sg+Nom
kraavhtje	kraavhtje+N+Sg+Nom
gaaktje	gaaktje+N+Sg+Nom
