lemma	mg_index	pos_hint	nob_ts	swe_placeholders
bïesse	1	N	binne	binne_SWE
bööte	1	N	bot	bot_SWE
daajh	1	N	sanser	sanser_SWE
daelhkie	1	N	føre	føre_SWE
darte	1	N	fjellbrem; strekning langs kanten av fjellet	fjellbrem_SWE
davvome	1	N	kurering	kurering_SWE
dearhka	1	N	tvare	tvare_SWE
deerpegh	1	N	fornødenheter	fornødenheter_SWE
derhvielaanoe	1	Phrase	midlertidig byggverk av lang vannrett stokk dekt med skråstilte stranger med ris og torv
            oppå	torvhytte_SWE
digkiegåetie	1	N	tinghus	tinghus_SWE
doenehke	1	N	hinmannen	hinmannen_SWE
doengese	1	N	lapp	lapp_SWE
dotnele	1	Phrase	skinnet på undersiden av reinens hode	skinnet på undersiden av reinens hode_SWE
dovtege	1	N	støtte	støtte_SWE
dualjetje	1	Phrase	lite skinn	lite skinn_SWE
duarsta	1	N	torsdag	torsdag_SWE
dueljie	1	N	skinn	skinn_SWE
dusijne	1	N	dusin	dusin_SWE
dåajmijesvoete	1	N	høviskhet	høviskhet_SWE
dåapmoestovle	1	N	domstol	domstol_SWE
dåara	1	N	krig	krig_SWE
dåarjoe	1	N	støtte; stønad	støtte_SWE
dåaroe	1	N	krig; strid	krig_SWE
dåaroenïere	1	N	kriger; soldat	kriger_SWE
dåarohke	1	N	kriger; soldat	kriger_SWE
dåaroje	1	N	kriger; soldat	kriger_SWE
dåastoje	1	N	filter	filter_SWE
dåastove	1	Phrase	noe som tar imot eller stopper; fangarm til reingjerde	noe som tar imot eller stopper_SWE
dåemiedimmie	1	N	rolle	rolle_SWE
dåeriesmoere	1	N	hindring; problem	hindring_SWE
dåtnoe	1	N	tønne	tønne_SWE
dåvvoje	1	N	reparatør	reparatør_SWE
dååbpese	1	N	kløvunderlag	kløvunderlag_SWE
dååjrehtimmie	1	N	erfaring	erfaring_SWE
dïedte	1	N	ansvar; påvirkning	ansvar_SWE
dïejvese	1	N	punkt	punkt_SWE
dïejvese	2	N	uttrykk	uttrykk_SWE
dïelme	1	N	dønning	dønning_SWE
dïeneste	1	N	fortjeneste	fortjeneste_SWE
dïjmemebearkoe	1	Phrase	ferdigkokt kjøtt; mørt kjøtt	ferdigkokt kjøtt_SWE
dïjre	1	N	beskjed; budskap	beskjed_SWE
dïjreguedtije	1	N	budbærer	budbærer_SWE
dïpme	1	N	larm; dump lyd	larm_SWE
döörhke	1	N	krage; kragefett omkring tynntarmen	kragefett_SWE
e-påaste	1	N	e-post; e-mail	e-post_SWE
eabnoe	1	N	grunn	grunn_SWE
eadtjohke	1	N	entusiasme	entusiasme_SWE
eaka	1	N	eiendom	eiendom_SWE
ealoe	1	N	reinhjord; reinflokk	reinhjord_SWE
earoe	1	N	ære	ære_SWE
eejhtegh	1	N	foreldre	forelder_SWE
eeke	1	N	eiendom; eiendel	eiendom_SWE
eksponente	1	N	eksponent	eksponent_SWE
ektiebarkoe	1	N	samarbeid	samarbeid_SWE
ektievoete	1	N	ekteskap	ekteskap_SWE
ektievoetejieleme	1	N	samfunnsliv	samfunnsliv_SWE
