lemma	mg_index	pos_hint	nob_ts	swe_placeholders
kråanke	1	N	knutepunkt	knutepunkt_SWE
kråankelaesie	1	N	glidelås	glidelås_SWE
kråaptjoenjuenie	1	Phrase	kroket nese	kroket nese_SWE
kråave	1	N	terrenggrop	terrenggrop_SWE
kråevvie	1	N	kurve	kurve_SWE
kråptjoe	1	N	krok	krok_SWE
kråvna	1	N	krone	krone_SWE
kråvnoe	1	N	brudekrone	brudekrone_SWE
krïense	1	N	grense	grense_SWE
krïevve	1	N	rein	rein_SWE
kultuvre	1	N	kultur	kultur_SWE
kultuvreaerpie	1	N	kulturarv	kulturarv_SWE
kultuvredarjome	1	N	kulturaktivitet	kulturaktivitet_SWE
kultuvrejarnge	1	N	kultursentrum	kultursentrum_SWE
kultuvremaahtoe	1	N	kulturkunnskap	kulturkunnskap_SWE
kultuvrevaarjelimmie	1	N	kulturvern	kulturvern_SWE
kurse	1	N	kurs	kurs_SWE
kuvsje	1	N	kurs	kurs_SWE
kvaadde	1	Phrase	udøpt spebarn	udøpt spebarn_SWE
kvæjta	1	N	kveite	kveite_SWE
kåahpe	1	N	kopp	kopp_SWE
kåahpere	1	N	kobber	kobber_SWE
kåale	1	N	kål	kål_SWE
kåalhta	1	N	stekepanne	stekepanne_SWE
kåanste	1	N	kunst	kunst_SWE
kåarhte	1	N	kort	kort_SWE
kåarje	1	N	korg	korg_SWE
kåava	1	N	forstue	forstue_SWE
kååpe	1	N	kåpe	kåpe_SWE
laadtege	1	N	molte	molte_SWE
laadtegenlaste	1	N	molteblad	molteblad_SWE
laadthpluevie	1	N	moltemyr	moltemyr_SWE
laadthbïekere	1	N	molteflo; moltemyr	moltemyr_SWE
laahkoe	1	N	svogerskapstittel; slektskapsbenevnelse	slektskapstittel_SWE
laaje	1	N	laug	laug_SWE
laajkoe	1	N	skyld; gjeld	skyld_SWE
laajpetje	1	Phrase	lite brød	lite brød_SWE
laajroe	1	N	vei; lei	vei_SWE
laake	1	N	lov	lov_SWE
laampe	1	N	lam	lam_SWE
laanoegåetie	1	N	barhytte	barhytte_SWE
laante	1	N	land	land_SWE
laanteburrie	1	N	jordbruker	jordbruker_SWE
laantemuerjie	1	N	markjordbær	markjordbær_SWE
laatege	1	N	skispor	skispor_SWE
laavadahke	1	N	lørdag	lørdag_SWE
laave	1	N	løv	løv_SWE
laavenjasse	1	N	oppgave	oppgave_SWE
laavkeme	1	N	sammenføyning	sammenføyning_SWE
laavkoe	1	N	bad	bad_SWE
laavkoje	1	N	døper; bader	døper_SWE
laavkome	1	N	bad	bad_SWE
laavkome	2	N	dåp	dåp_SWE
laavkometjïehtjele	1	N	baderom	baderom_SWE
laavloe	1	N	sang	sang_SWE
laavlome	1	N	sang	sang_SWE
laavlomegærja	1	N	sangbok	sangbok_SWE
laavvadahke	1	N	lørdag	lørdag_SWE
ladte	1	Phrase	engelsk syke	engelsk syke_SWE
ladtetje	1	Phrase	liten fugl	liten fugl_SWE
laedtie	1	N	bumann; nordmann; svenske	bumann_SWE
laejhteme	1	N	klage; kritikk	klage_SWE
laejkie	1	N	tråd; garn	tråd_SWE
laejpie	1	N	brød; flatbrød	brød_SWE
laejpietjaalege	1	N	brødoppskrift	brødoppskrift_SWE
laemtjie	1	N	kjøretøm; leietøm	kjøretøm_SWE
laessie	1	N	lass	lass_SWE
laevie	1	N	tremenning	tremenning_SWE
lahtese	1	N	innlegg; replikk	innlegg_SWE
lahtese	2	N	benevnelse	benevnelse_SWE
lahtestimmie	1	N	innlegg; bemerkning	innlegg_SWE
lapte	1	N	loft	loft_SWE
lapte	2	Phrase	avsats i fjellsiden	avsats i fjellsiden_SWE
laste	1	N	løv	løv_SWE
latjkoe	1	N	avtale	avtale_SWE
leahkoe	1	N	tverrfjøl; bakstykke i pulk eller komse; akterspeil	tverrfjøl_SWE
leahpa	1	N	billett	billett_SWE
leahta	1	N	mønster; struktur	mønster_SWE
leaksoe	1	N	lekse	lekse_SWE
leara	1	N	lære	lære_SWE
leare	1	N	lære	lære_SWE
learoe	1	N	lære	lære_SWE
learohke	1	N	elev; lærling; disippel	elev_SWE
learohkedåehkie	1	N	elevgruppe	elevgruppe_SWE
leavloe	1	N	tyngde; vekt	tyngde_SWE
ledtie	1	N	fugl	fugl_SWE
leekedæjja	1	N	slakter	slakter_SWE
leekemebovtse	1	N	slakterein	slakterein_SWE
leekemebïjle	1	N	slaktebil	slaktebil_SWE
leene	1	N	len	len_SWE
leerehte	1	N	lerret	lerret_SWE
leessemebïjle	1	N	lastebil	lastebil_SWE
leevege	1	N	barnål	barnål_SWE
lehkie	1	N	halvdel	halvpart_SWE
leksikovne	1	N	leksikon	leksikon_SWE
librie	1	N	lever	lever_SWE
litteratuvre	1	N	litteratur	litteratur_SWE
liejpie	1	N	or; older	or_SWE
liemme	1	N	låve	låve_SWE
lienhtsie	1	N	lensmann	lensmann_SWE
liesmie	1	Phrase	smittsom sykdom i reinens klover	smittsom sykdom i reinens klover_SWE
lihpie	1	N	bergheller; heller	bergheller_SWE
lihtie	1	N	dekketøy	dekketøy_SWE
lihtie	2	N	kar; trau	kar_SWE
lihtievåarhkoe	1	N	koppeskap	koppeskap_SWE
lijhkiemåvhkah	1	N	truse; underbukse	truse_SWE
lijhkiesjåarhtoe	1	N	underskjorte; t-skjorte	underskjorte_SWE
lijhkievaarjoe	1	N	undertøy; underklær	undertøy_SWE
lijkiemiesie	1	Phrase	kalv som en eldre simle tar til seg som sin egen	kalv som en eldre simle tar til seg som sin egen_SWE
lijnese	1	N	skjerf	skjerf_SWE
lijnie	1	N	sjal; skjerf	sjal_SWE
lijniegaalloe	1	Phrase	rein med hvitt hode	rein med hvitt hode_SWE
lissie	1	N	tillegg	tillegg_SWE
lissiemaaksoe	1	N	rente	rente_SWE
lissievæhta	1	N	plusstegn	plusstegn_SWE
litnie	1	N	fjellhylle	fjellhylle_SWE
loedte	1	Phrase	spor etter reinflokk i snøen	spor etter reinflokk i snøen_SWE
loehke	1	N	lokkpulk	lokkpulk_SWE
loehkegierehtse	1	Phrase	lukket pulk med lokk og lås	lukket pulk_SWE
loekte	1	N	vik; bukt	vik_SWE
loese	1	N	laks	laks_SWE
faerpie	1	N	maling	maling_SWE
loeve	1	N	øyelokk	øyelokk_SWE
tjelmieloeve	1	N	øyelokk	øyelokk_SWE
loevesmiesie	1	Phrase	kalv uten mor	kalv uten mor_SWE
loevtenjidtjieh	1	Phrase	spener som sitter så tett at de kan melkes samtidig	spener som sitter så tett at de kan melkes samtidig_SWE
lohkehtæjja	1	N	lærer	lærer_SWE
lohkeme	1	N	lesning	lesning_SWE
lohkemegærja	1	N	lesebok	lesebok_SWE
lohkemelahtese	1	N	leserinnlegg	leserinnlegg_SWE
lohkemebyjrese	1	N	læringsmiljø	læringsmiljø_SWE
lohkemevuekie	1	N	lesemåte; lesestrategi	lesemåte_SWE
lohkije	1	N	legpredikant	legpredikant_SWE
lopme	1	N	snø	snø_SWE
lopmefealloe	1	N	snøbrett	snøbrett_SWE
lovre	1	N	geværkule	geværkule_SWE
lovve	1	Phrase	reinens hviletid	reinens hviletid_SWE
luehkie	1	N	lokk	lokk_SWE
luejhteme	1	N	tilgivelse	tilgivelse_SWE
luejie	1	N	grålysning; daggry	grålysning_SWE
luemege	1	N	lemen	lemen_SWE
luhpie	1	N	lov; tillatelse	lov_SWE
luspie	1	N	elveos	elveos_SWE
luste	1	N	moro; fornøyelse; hygge	moro_SWE
luvjie	1	N	bjørn	bjørn_SWE
låahra	1	Phrase	skinn med pels av stort dyr	skinn med pels av stort dyr_SWE
låajtoe	1	N	gammegulv; sitteplassen på hver side av arnen i gamma	gammegulv_SWE
låamma	1	N	lomme	lomme_SWE
låamme	1	N	lomme	lomme_SWE
låammelijnie	1	N	lommetørkle	lommetørkle_SWE
låavtege	1	N	telt; teltduk	telt_SWE
låavthgåetie	1	N	teltkåte	teltkåte_SWE
låemie	1	Phrase	liten gressdal	liten gressdal_SWE
låesuve	1	Phrase	fint bjørkeris med løv	fint bjørkeris med løv_SWE
låhkoe	2	N	dokument	dokument_SWE
låhkoe	3	N	tall	tall_SWE
låpsoedahke	1	N	fuktighet	fuktighet_SWE
låvledhvearelde	1	N	østavær	østavær_SWE
låvnadahke	1	N	soloppgang	soloppgang_SWE
læhkoe	1	N	lykke; hell	lykke_SWE
lahkoe	1	N	lykke; hell	lykke_SWE
læstoe	1	N	koftebånd; pyntebånd langs nerkanten på kofta	koftebånd_SWE
læstoe	2	N	liste	liste_SWE
lïegkese	1	N	friminutt	friminutt_SWE
lïeme	1	N	kjøttkraft; buljong	sodd_SWE
lïeme	2	N	dyreblod	dyreblod_SWE
lïemeaajroe	1	N	blodåre	blodåre_SWE
lïerehtimmie	1	N	læring	læring_SWE
lïhtse	1	N	ledd; virvel	ledd_SWE
lïhtse	2	N	skobåndledd	skobåndledd_SWE
lïhtsege	1	Phrase	ryggrad med kjøtt av slaktet dyr	ryggrad med kjøtt_SWE
lïhtsege	2	N	medlem	medlem_SWE
lijhtere	1	N	liter	liter_SWE
lööhpe	1	N	fjorårskalv	fjorårskalv_SWE
lööke	1	N	løk	løk_SWE
lööneme	1	N	lån	lån_SWE
löövje	1	N	avkok; låg	avkok_SWE
löövje	2	N	te	te_SWE
löövje	3	Phrase	saft fra trær	saft fra trær_SWE
maadtege	1	N	rotenden	rotenden_SWE
maadteraahka	1	N	oldemor	oldemor_SWE
maadteraajja	1	N	oldefar	oldefar_SWE
maadthgietjie	1	N	rotende	rotende_SWE
maadthhammoe	1	N	grunnform	grunnform_SWE
maadthskuvle	1	N	grunnskole	grunnskole_SWE
maadtoe	1	N	herkomst; slekt	herkomst_SWE
maadtoe	2	N	fødested	fødested_SWE
maadtoe	3	N	utgangspunkt	utgangspunkt_SWE
maahtoe	1	N	kunnskap; kompetanse	kompetanse_SWE
maaje	1	Phrase	lang veg; stor avstand	lang veg_SWE
maajje	1	N	mai	mai_SWE
maajke	1	Phrase	varmt vær uten sol om dagen eller natten	varmt vær_SWE
maajke	2	Phrase	myggplage etter solnedgang	myggplage_SWE
maajsoe	1	N	bør	bør_SWE
maaketje	1	Phrase	mannlig onkelbarn til filleonkel; mannlig onkelbarn til onkel som er gift med mammas søster	mannlig onkelbarn til filleonkel_SWE
maaksoe	1	N	betaling	betaling_SWE
maale	1	N	møll	møll_SWE
maalese	1	N	måltid	måltid_SWE
maalja	1	N	sølvbrosje	sølvbrosje_SWE
maana	1	N	barn; unge	barn_SWE
maanasåjhtere	1	N	barnevakt	barnevakt_SWE
maanavaarjelimmie	1	N	barnevern	barnevern_SWE
maavnese	1	N	mai	mai_SWE
maeljie	1	N	sølvbrosje	sølvbrosje_SWE
maksove	1	N	mat	mat_SWE
meadtoe	1	N	forseelse	forseelse_SWE
meagroe	1	N	hund	hund_SWE
mearroe	1	N	merr	merr_SWE
measadahketje	1	N	reinkalvskinn; skinn av nyfødt reinkalv	reinkalvskinn_SWE
meata	1	Phrase	mors yngre søster	mors yngre søster_SWE
meetere	1	N	meter	meter_SWE
mehkie	1	N	bukt	bukt_SWE
meskie	1	Phrase	dal som går over fjellet	dal som går over fjellet_SWE
mierie	1	N	mengde	mengde_SWE
mierie	2	N	omegn	omegn_SWE
miesehketïjje	1	N	kalvingstid	kalvingstid_SWE
minngiegietjie	1	N	bakende; bakdel	bakende_SWE
minngiestaebnie	1	N	bakstavn	bakstavn_SWE
minusevæhta	1	N	minustegn	minustegn_SWE
moehrele	1	Phrase	tantebarn til mors yngre søster; tantebarn	tantebarn til mors yngre søster_SWE
moehte	1	Phrase	fallende snø	fallende snø_SWE
moehtege	1	N	snø	snø_SWE
moenehke	1	N	sott	sott_SWE
moenehtse	1	N	nevner	nevner_SWE
moenemetsiehkie	1	N	kriterium	kriterium_SWE
mojhtese	1	N	minne; hukommelse	minne_SWE
morhte	1	N	mold	mold_SWE
morhtje	1	Phrase	pulsåren nærmest hjertet	pulsåren nærmest hjertet_SWE
muadtese	1	Phrase	emne til pels	emne til pels_SWE
muahra	1	Phrase	mors yngre søster	mors yngre søster_SWE
muata	1	Phrase	mors yngre søster	mors yngre kusine_SWE
mueksie	1	N	lever	lever_SWE
muerjielihtie	1	N	bærkopp	bærkopp_SWE
muetie	1	N	møll	møll_SWE
muetsie	1	N	møll	møll_SWE
mueviedåastoje	1	N	luftfilter; støvfilter	luftfilter_SWE
mujvie	1	N	grums	grums_SWE
multie	1	N	mold	mold_SWE
munnie	1	N	egg	egg_SWE
munniegiebnie	1	N	eggkjele	eggkjele_SWE
munniesledtie	1	Phrase	fugl som legger egg	fugl som legger egg_SWE
murhkije	1	Phrase	en som gjør hærverk eller ødelegger	en som gjør hærverk eller ødelegger_SWE
murrie	1	N	trivsel	trivsel_SWE
måanta	1	N	mandag	mandag_SWE
måara	1	N	knokkel; bein	knokkel_SWE
måare	1	N	mor	mor_SWE
måaroe	1	N	knokkel; bein	knokkel_SWE
måekie	1	N	skur	skur_SWE
måerie	1	N	vrede; sinne	vrede_SWE
måersie	1	N	hustru	hustru_SWE
mårve	1	Phrase	irritabel person	irritabel person_SWE
måskoesmuadta	1	Phrase	pels som er hel foran	pels_SWE
måskoestjåelie	1	N	blindtarm	blindtarm_SWE
måvhkah	1	N	bukse	bukse_SWE
mænngole	1	N	elgku	elgku_SWE
mænnja	1	N	svigerdatter	svigerdatter_SWE
åvteskuvmie	1	N	forkle	forkle_SWE
mïele	1	N	mening; behag; sinn	mening_SWE
mïelke	1	N	bryst; bringe	bryst_SWE
mïelkese	1	N	kjøl	kjøl_SWE
mïerehke	1	Phrase	same som lever som jordbruker	same som lever som jordbruker_SWE
mïerhke	1	N	merke; punkt	merke_SWE
mïetske	1	N	august	august_SWE
mïetske	2	N	røyte	røyte_SWE
mïetske	3	N	forråtnelse	forråtnelse_SWE
mïetskeldahke	1	N	hundedagene	hundedagene_SWE
mïjle	1	N	mil	mil_SWE
möölege	1	N	lengdemål	mål_SWE
naaloe	1	N	nål	nål_SWE
naapere	1	N	bor	bor_SWE
naehkie	1	N	fiskehode; del av fisk	fiskehode_SWE
naehpie	1	N	melkekopp; trekopp for melking	melkekopp_SWE
naelie	1	N	rase	rase_SWE
naemie	1	Phrase	skinn på gevir	skinn på gevir_SWE
naepie	1	N	navle	navle_SWE
naestie	1	N	stjerne	stjerne_SWE
naestie	2	N	gnist	gnist_SWE
naestieklaahka	1	Phrase	kjepp for å rote i ilden eller glørne med	kjepp for å rote i ilden eller glørne med_SWE
nahkere	1	N	trøtthet	trøtthet_SWE
nahkere	2	N	drøm	drøm_SWE
najpetje	1	Phrase	liten kniv	liten kniv_SWE
nalhke	1	N	pute	støtte_SWE
nasteklaahka	1	Phrase	kjepp for å rote i ilden eller glørne	kjepp for å rote i ilden eller glørne_SWE
nastemeklaahka	1	N	bålkjepp; kjepp for å rote i ilden eller for å karre sammen veden	bålkjepp_SWE
neajtoe	1	N	dame	dame_SWE
neapede	1	Phrase	onkelbarn til mors bror	onkelbarn til mors bror_SWE
neastetje	1	N	slakterein	slakterein_SWE
neavroe	1	N	nød	nød_SWE
neebne	1	N	navnesøster; navnebror	navnesøster_SWE
nejpie	1	N	kniv	kniv_SWE
nejpiensjapmere	1	N	knivbak	knivbak_SWE
nielkie	1	N	sult	sult_SWE
nieskeme	1	Phrase	planke som en skraper skinn på	planke som en skraper skinn på_SWE
nieskemegalte	1	N	skinnskrapestokk	skinnskrapestokk_SWE
nieskemeruevtie	1	N	skinnskrape	skinnskrape_SWE
niestie	1	N	matrein; slakt	matrein_SWE
niestie	2	N	niste	niste_SWE
niestiesvoesse	1	N	nistesekk	nistesekk_SWE
njïetsege	1	N	leggbein; nederste margbein på bakfoten	leggbein_SWE
njïetsege	2	N	buksebein	buksebein_SWE
nihtjele	1	N	kvae	kvae_SWE
njaaka	1	N	lake	lake_SWE
njaalmeldhgïele	1	Phrase	muntlig språk	muntlig språk_SWE
njaamelijnie	1	N	håndkle	håndkle_SWE
njaarke	1	N	halvøy	halvøy_SWE
njaelmie	1	N	munn	munn_SWE
njaevie	1	Phrase	stor hannrein	stor hannrein_SWE
njaevie	2	Phrase	lange reinhår under reinens hals	reinhår_SWE
njalle	1	Phrase	stabbur på stolpe	stabbur på stolpe_SWE
njallemejuelkie	1	Phrase	flådd fot	flådd fot_SWE
njaltja	1	N	menneskehud	hud_SWE
njamma	1	N	kvinnebryst	kvinnebryst_SWE
njealjehts	1	N	kvart	kvart_SWE
njeeruve	1	Phrase	tørrlendt voll; gressbevokst voll	tørrlendt voll_SWE
njevlie	1	N	slim	slim_SWE
njidtje	1	N	spene	spene_SWE
njoeje	1	N	unnabakke	unnabakke_SWE
njoektjeme	1	N	tunge	tunge_SWE
njoele	1	N	pil	pil_SWE
njoelkedasse	1	N	forordning; regel	forordning_SWE
njoevege	1	N	innvoller	innvoller_SWE
njoktje	1	N	mars	mars_SWE
njoktje	2	N	svane	svane_SWE
njuana	1	N	tange; nes	tange_SWE
njuenehke	1	Phrase	den fremste del av reinflokken	framtroppen_SWE
njuenie	1	N	nese	nese_SWE
njuenie	2	N	snute; nebb; mule	snute_SWE
njuenie	3	N	fjellnase; utløper av fjell	fjellnase_SWE
njuvvie	1	N	strøm	strøm_SWE
njåemele	1	N	hare	hare_SWE
njåetsie	1	Phrase	noe å slenge over seg; cape	noe å slenge over seg_SWE
njååjte	1	N	unnabakke	unnabakke_SWE
njååtje	1	Phrase	lang og bøyelig kjepp	lang og bøyelig kjepp_SWE
njæssoe	1	Phrase	lett overskyet vær	lett overskyet vær_SWE
njïdtjele	1	N	tyggekvae	godkvae_SWE
noeredaltese	1	N	ungdomstrinn	ungdomstrinn_SWE
noereskuvle	1	N	ungdomsskole	ungdomsskole_SWE
noerhte	1	N	nord	nord_SWE
noerhtegadtje	1	Phrase	person nordfra	person nordfra_SWE
noeve	1	N	svamp	svamp_SWE
nomme	1	N	navn	navn_SWE
norse	1	Phrase	margbein øverst i bog og lår	margbein øverst i bog og lår_SWE
novhtehke	1	Phrase	vanntette vårsko	vanntette vårsko_SWE
nubpiengïele	1	N	andrespråk	andrespråk_SWE
nuehtie	1	N	not	not_SWE
nuepie	1	N	sjanse; anledning	sjanse_SWE
nuvhlie	1	Phrase	ende av et ikke helt oppbrent vedtre	ende av et ikke helt oppbrent vedtre_SWE
nuvvie	1	N	nagle; spiker	nagle_SWE
nyjsene	1	N	kvinne	kvinne_SWE
nyjsenæjja	1	N	kvinne	kvinne_SWE
nyöjhkemehaamoe	1	N	nektingsform	nektingsform_SWE
nåejsie	1	Phrase	gravid kvinne	gravid kvinne_SWE
nåhkeme	1	N	slutt	slutt_SWE
nårroe	1	N	nøste	nøste_SWE
nåårese	1	N	hyssing	hyssing_SWE
nååte	1	Phrase	niese til filleonkel; niese til inngiftet onkel	niese til filleonkel_SWE
nïejte	1	N	jente	jente_SWE
nïejte	2	N	datter	datter_SWE
nïejtetje	1	Phrase	lita jente	lita jente_SWE
nïere	1	N	person; storkar	person_SWE
nïere	2	N	nød	nød_SWE
nïerre	1	N	narr	narr_SWE
nïmmere	1	N	tynntarm	tynntarm_SWE
nïmmerh	1	Phrase	tynntarmene og tarmfettet	tynntarmene og tarmfettet_SWE
nïrre	1	N	knivskaft; økseskaft	skaft_SWE
ohtjegåetie	1	N	toalett	toalett_SWE
ohtse	1	N	barmåpning	barmåpning_SWE
ohtseme	1	N	søknad	søknad_SWE
ohtsemebiejjie	1	N	søknadsfrist	søknadsfrist_SWE
ohtsije	1	N	søker; en som leter etter noe	søker_SWE
okse	1	N	dør; port; grind	dør_SWE
okse	2	N	ørret	ørret_SWE
oksenvitnjele	1	N	dørhåndtak	dør_SWE
bæjngoehokse	1	N	ytterdør	ytterdør_SWE
olle	1	Phrase	rand under skia	rand under skia_SWE
onnegåetie	1	N	toalett	toalett_SWE
onnevïelle	1	N	lillebror	lillebror_SWE
onneåabpa	1	N	lillesøster	lillesøster_SWE
orredaajroe	1	N	nysgjerrighet	nysgjerrighet_SWE
orredaamehke	1	N	nytemming	nytemming_SWE
orredaaroengïele	1	N	nynorsk	nynorsk_SWE
orregåetie	1	N	nyhus	nyhus_SWE
orrejaepie	1	N	nyttår	nyttår_SWE
orreråantja	1	Phrase	nykastrert reinsbukk	nykastrert reinsbukk_SWE
orrijimmie	1	N	avslutning	avslutning_SWE
otnerasse	1	Phrase	buestang i gammereisverket	buestang_SWE
otnjege	1	N	retning	retning_SWE
ovjuvre	1	N	udyr	udyr_SWE
ovluvregevoete	1	N	ulydighet	ulydighet_SWE
ovvaantoe	1	N	uenighet	uenighet_SWE
paahke	1	N	pakke	pakke_SWE
pahke	1	N	pakke	pakke_SWE
paanne	1	N	stekepanne	stekepanne_SWE
paantje	1	N	pakke; bylt	pakke_SWE
paarhte	1	Phrase	del av hjorden	del av hjorden_SWE
paarre	1	N	par	par_SWE
paarrebielie	1	Phrase	bedre halvdel	bedre halvdel_SWE
paehpere	1	N	papir	papir_SWE
peanna	1	N	penn	penn_SWE
peannagåetie	1	N	pennal	pennal_SWE
peara	1	N	potet	potet_SWE
pearalaejpie	1	N	potetkake	potetkake_SWE
plaerie	1	N	blad	blad_SWE
plaerie	2	N	blad; avis	blad_SWE
plaerietjaeleme	1	N	avisinnlegg	avisinnlegg_SWE
plienie	1	N	potetblad; skall	potetblad_SWE
plïehtje	1	Phrase	flatt sted	flatt sted_SWE
pluahta	1	N	flåte	flåte_SWE
pluevie	1	N	myr	myr_SWE
plusse	1	N	pluss	pluss_SWE
plåamstere	1	N	blomst	blomst_SWE
plæjjohke	1	N	blyant	blyant_SWE
klaerieplæjjohke	1	N	fargeblyant	fargeblyant_SWE
plïehtjegaerie	1	N	tallerken	tallerken_SWE
plïejhke	1	N	flekk	flekk_SWE
plïere	1	N	utseende	utseende_SWE
poehte	1	N	flaske	flaske_SWE
politihke	1	N	politikk	politikk_SWE
polijse	1	N	politi	politi_SWE
prarrohke	1	Phrase	frekk person	frekk person_SWE
predikatijve	1	N	predikativ	predikativ_SWE
prievie	1	N	brev	brev_SWE
programme	1	N	program	program_SWE
prosente	1	N	prosent	prosent_SWE
provkome	1	N	brudgom	brudgom_SWE
provre	1	N	bryllup	bryllup_SWE
provrese	1	N	brudgom; brud	brudgom_SWE
provresïlpe	1	N	brudesølv	brudesølv_SWE
prutnie	1	N	brønn	brønn_SWE
pruvre	1	N	bryllup	bryllup_SWE
pruvrese	1	N	brud	brud_SWE
pruvvie	1	N	bru	bru_SWE
pråvhkoe	1	N	bruk; sedvane	bruk_SWE
prægkoe	1	N	bringe	bringe_SWE
prïejhke	1	N	preken	preken_SWE
prïhtjege	1	N	kaffe	kaffe_SWE
prïhtjegh	1	N	kaffebønner; malt kaffe	kaffe_SWE
prïhtjhgiebnie	1	N	kaffekjele	kaffekjele_SWE
prïhtjhgåetie	1	N	kafé	kafé_SWE
prïhtjhvoesse	1	N	kaffepose	kaffepose_SWE
prïhtjhvoessetje	1	N	kaffepose	kaffepose_SWE
påajke	1	N	gutt	gutt_SWE
påaskh	1	N	påske	påske_SWE
påaste	1	N	post	post_SWE
påastegåetie	1	N	posthus	posthus_SWE
pååjke	1	N	gutt	gutt_SWE
pååjketje	1	Phrase	liten gutt	liten gutt_SWE
pæhperh	1	N	pepper	pepper_SWE
raadtehts	1	Phrase	den ytterste tarmen med tynt innhold	den ytterste tarmen med tynt innhold_SWE
raaja	1	N	grense	grense_SWE
raaja	2	N	medgift	medgift_SWE
raejie	1	N	grense	grense_SWE
raajnevaarjoe	1	Phrase	reine klær	reine klær_SWE
raajoe	1	N	grense	grense_SWE
raajoe	2	N	medgift	medgift_SWE
raajoegiebnie	1	N	arvekjele	arvekjele_SWE
raajroe	1	N	raide	raide_SWE
raajroealmetje	1	Phrase	person i flytteraiden	person i flytteraiden_SWE
raajtere	1	N	stige	stige_SWE
raajtere	2	Phrase	reinmerke med tre hakk langs kanten	reinmerke_SWE
raame	1	N	flog; bratt skråning	flog_SWE
raamemaadtege	1	Phrase	kløft mellom bar skråning og snømark	kløft mellom bar skråning og snømark_SWE
raante	1	N	hjort	hjort_SWE
raarhkemestuhtje	1	N	skillingsrein	skillingsrein_SWE
raarhkoe	1	N	reinskilling	reinskilling_SWE
raaste	1	N	grense	grense_SWE
raastege	1	N	grenseområde	grenseområde_SWE
raate	1	N	boss; skrap	boss_SWE
raavnije	1	N	rogn	rogn_SWE
raavra	1	N	ball	ball_SWE
raavre	1	N	røye	røye_SWE
rabre	1	Phrase	stor reinflokk	stor reinflokk_SWE
raadijove	1	N	radio	radio_SWE
radte	1	N	skare; hardt føre med lite snø	skare_SWE
raedtehke	1	Phrase	hund som er flink til å passe kanten av reinflokken	hund som er flink til å passe kanten av reinflokken_SWE
raedtie	1	N	kant	kant_SWE
raeffie	1	N	fred; ro	fred_SWE
raejkie	1	N	hull	hull_SWE
raejkiebaenie	1	N	hulltann	hulltann_SWE
raejrie	1	N	torden	torden_SWE
raerie	1	N	råd	råd_SWE
raerievedtije	1	N	rådgiver; konsulent	rådgiver_SWE
ravve	1	N	bak; rumpe	bak_SWE
reajnoemaennie	1	N	vokter; gjeter	vokter_SWE
reakadimmiebiejjie	1	N	fødselsdag	fødselsdag_SWE
reakta	1	N	rettighet	rettighet_SWE
reeremedajve	1	N	forvaltningsområde	forvaltningsområde_SWE
reeseme	1	N	oppfordring	oppfordring_SWE
rehpie	1	N	tak	tak_SWE
repmie	1	N	dyrekropp	dyrekropp_SWE
riehpene	1	N	ljore	ljore_SWE
riektie	1	N	domstol	domstol_SWE
riepie	1	N	rev	rev_SWE
rietjmie	1	N	snor; snøre	snor_SWE
rigkie	1	N	skjerding; kjetting til å henge gryte i	skjerding_SWE
rissie	1	N	yr; fint regn	yr_SWE
roehtse	1	N	trerot; planterot	rot_SWE
roene	1	N	hjørne; krok	hjørne_SWE
roenge	1	N	godlukt	godlukt_SWE
roeste	1	N	rust	rust_SWE
roestegåetie	1	N	fengsel	fengsel_SWE
rohkejaavvoeh	1	N	rugmel	rugmel_SWE
rohkelasse	1	N	bønn	bønn_SWE
ropmege	1	Phrase	ubehagelig menneske	ubehagelig menneske_SWE
rosse	1	Phrase	ryggstripen på skinn	ryggstripen på skinn_SWE
rovkije	1	N	bondekone	bondekone_SWE
ruaksja	1	N	lår; stek; skinke	lår_SWE
rudtje	1	N	rygg	rygg_SWE
rudtjemåaroe	1	N	ryggbein	ryggbein_SWE
ruerhkie	1	Phrase	det tynne av blodet	det tynne av blodet_SWE
ruevtie	1	N	jern; jernstykke	jern_SWE
ruevtie	2	Phrase	verktøy laget av jern	verktøy_SWE
ruevtie	3	N	revesaks; felle	revesaks_SWE
ruevtieraajroe	1	N	jernbane	jernbane_SWE
ruffie	1	N	juni; røytemåned	juni_SWE
ruffie	2	N	pelsskifte; røyteperiode	pelsskifte_SWE
ryöjnesjæjja	1	N	gjeter; reingjeter	gjeter_SWE
ryöknemegærja	1	N	regnebok	regnebok_SWE
råahke	1	Phrase	kastrert reinsbukk	kastrert reinsbukk_SWE
råaksoe	1	N	bikkje; tispe	bikkje_SWE
råanja	1	N	pøsregn; plaskregn	pøsregn_SWE
råantja	1	N	reinsbukk	reinsbukk_SWE
råantjoe	1	Phrase	kastrert reinsbukk; trekkrein	kastrert reinsbukk_SWE
råase	1	N	rådyr	rådyr_SWE
råate	1	N	gaupe	gaupe_SWE
råateme	1	N	gaupe	gaupe_SWE
råavka	1	N	skinnfell	skinnfell_SWE
råavkoe	1	N	skinnfell	skinnfell_SWE
råhkelasse	1	N	bønn	bønn_SWE
råhtoe	1	Phrase	tett granskog; tett skogslandskap	tett granskog_SWE
råtnoe	1	N	gjeldsimle; simle som enten ikke har fått kalv eller har mistet den det aktuelle året	gjeldsimle_SWE
råvna	1	N	bonde	bonde_SWE
