baelhkiestidh	baelhkiestidh+V+TV+Inf
baelhkiestidh	baelhkiestidh+V+TV+Ind+Prt+Pl2

jaahkoles	jaahkoles+A+Attr
jaahkoles	jaahkoles+A+Sg+Nom

fijkonemoere	fijkonemoere+N+Sg+Nom
fijkonemoere	fijkone+N+Cmp/SgNom+Cmp#moere+N+Sg+Nom

vuernie	vuernie+N+Sg+Nom

heevehtasse	heevehtasse+N+Sg+Nom

gåase	gåase+N+Sg+Nom

båeltemes-#sjïele	båeltemes-#sjïele	+?

asve	asve+N+Sg+Nom

stinkesvoete	stinkes+A+Cmp/Attr+Cmp#voete+N+Sg+Nom
stinkesvoete	stinkes+A+Attr+Der/vuota+N+Err/Orth+Sg+Nom
stinkesvoete	stinkes+A+Attr+Der/vuota+N+Sg+Nom
stinkesvoete	stinkesvoete+N+Sg+Nom

maanehth	maanehth+A+Attr
maanehth	maanehth+A+Pl+Nom
maanehth	maanehth+A+Sg+Nom

bïjretjoehpesovveme	bïjretjoehpesovveme+N+Sg+Nom

tjïevnedh	tjïevnedh+V+TV+Der/d+V+ConNeg
tjïevnedh	tjïevnedh+V+TV+Der/d+V+Imprt+Sg2
tjïevnedh	tjïevnedh+V+TV+Der/d+V+Ind+Prs+Sg2
tjïevnedh	tjïevnedh+V+TV+Inf

skaavhte-#gierkie	skaavhte-#gierkie	+?

jaemieh-aajmoe	jaemieh-aajmoe+N+Sg+Nom

gïertedh	geartedh+V+TV+Der/d+V+ConNeg
gïertedh	geartedh+V+TV+Der/d+V+Imprt+Sg2
gïertedh	geartedh+V+TV+Der/d+V+Ind+Prs+Sg2
gïertedh	gïertedh+V+TV+Der/d+V+ConNeg
gïertedh	gïertedh+V+TV+Der/d+V+Imprt+Sg2
gïertedh	gïertedh+V+TV+Der/d+V+Ind+Prs+Sg2
gïertedh	gïertedh+V+TV+Inf

faelskies	faelskies+A+Attr

eesele	eesele+N+Sg+Nom

vïhnesjimmie	vihnesjimmie+N+Sg+Nom
vïhnesjimmie	vïhnesjidh+V+IV+Der/NomAct+N+Sg+Nom
vïhnesjimmie	vïhnesjimmie+N+Sg+Nom

væjsehke	vijsies+A+Sg+Nom
væjsehke	vijsies+A+Err/Orth+Attr
væjsehke	væjsehke+N+Sg+Nom
væjsehke	væjsehke+A+Sg+Nom
væjsehke	væjsehke+A+Attr

vihnesjimmie	vihnesjimmie+N+Sg+Nom
vihnesjimmie	vïhnesjidh+V+IV+Der/NomAct+N+Sg+Nom
vihnesjimmie	vïhnesjimmie+N+Sg+Nom

vaevlie	vaevlie+N+Sg+Nom

tjeavadidh	tjeavadidh+V+TV+Inf
tjeavadidh	tjeavadidh+V+TV+Ind+Prt+Pl2

rïekteslaakan	rïekte+A+Hom2+Cmp/Attr+Cmp#laake+N+Err/Orth+Sg+Gen
rïekteslaakan	rïekte+A+Hom2+Attr+Der/laakan+Adv
rïekteslaakan	rïekte+A+Err/Orth+Cmp/SgNom+Cmp#laake+N+Err/Orth+Sg+Gen
rïekteslaakan	rïekteslaakan+Adv

njieljieluhkie	njieljieluhkie+Num+Sg+Nom

leehpedh	leehpedh+V+IV+Der/d+V+ConNeg
leehpedh	leehpedh+V+IV+Der/d+V+Imprt+Sg2
leehpedh	leehpedh+V+IV+Der/d+V+Ind+Prs+Sg2
leehpedh	leehpedh+V+IV+Inf

jieleme#biejjie	jieleme#biejjie	+?

eejhtege	eejhtege+v1+N+Sg+Nom

dovnesh	dovnesh+Pron+Coll+Pl+Nom

vaj	vaj+Interj+Err/Lex
vaj	vaj+CC

sjïdtestahke	sjïdtestahke+N+Sg+Nom

provrese-ålma	provrese+N+Cmp/SgNom+Cmp/Hyph+Cmp#ålma+N+Sg+Nom
provrese-ålma	provrese-ålma+N+Sg+Nom

lankasidh	lankasidh+V+IV+Inf
lankasidh	lankasidh+V+IV+Ind+Prt+Pl2

