eejhtege
moene
øvtiedimmiesoptsestalleme
eksamene
åårgane
eelkie
saemielaake
krööhkedh
dïedtije
beala
naasjovne
tsagkese
romere
artihkele
veadtaldihkie
baakoegærja
duedtie
aalkoe-almetje
elektronihke
sisnjele
laakeuvtelasse
goevtese
raajese
mandaate
konsultasjovne
åålmegebiejjie
fylhkentjïelte
uvtelassedh
fylhkendigkie
hotelle
proposisjovne
lijhkie-måvhka
draama
beetneh-vierhtie
karaktere
eejtege
båatsoe-burrie
barkoesoejkesje
regijovne
profeete
predikativehammoe
pleenume
øvtiedimmie-soptsestalleme
saemiepolitihke
rektovre
millijovne
lijhkie-sjåarhtoe
ekonomije
substantive
saemien-gïele
maanan-såjhtoe
båatsoe-laake
pred
gïelejarnge
smaareh-tjïerte
partije
jïlleskuvle
vierhkiedajve
mïrrestalleme
gaske-viermie
ööhpetimmie
åadtja
vihtiesvoetepolïjse
veeljemedajve
unnebelåhkoepolitihke
miehtjiesdajveståvroe
goerehtallemekommisjovne
elliesvïhnesjidh
båatsoedajve
mearoesaemie
laake-uvtelasse
laage
gaertjiedidh
fylhkemaennie
eejhtegi-moenehtse
dåarjege
tjïhtje
politihkere
maanasïjte
beajoe
ööhpehtimmiedirektorate
åålmehreakta
vaerielaake
saemiedigkielaake
politijhke
miehtjiesdajvedåapmoestovle
lihkesdajve
johkemehkie
ietnien-gïele
eatnemelearoe
dorjese
byjjesfaamoe
skåajjesnjeara
ööhpehtimmielaake
jilleskuvle
gåetiegïele
giele-åtnoe
ektievoete-jieleme
båatsoe-jieleme
buertiegærja
biegke-faamoe
barkoe-plaane
barkoeplaane
barkoedajve
vierhtiejarnge
terminologije
såjhtoedepartemente
saetniesvoete
mieriesoejkesje
maalestahke
gööktesh
gïelemoenehtse
fylhkeålma
faage-aamhtese
bijjie
vaerie-laake
tjompere
snaltje
skuvle-jaepie
siebrie
saemiengielie
rijhkebiejjielïhtsege
reaktatsiehkie
reaktagoerehtalledh
pihtesaemie
mearoegööleme
latjka
faaleldahke
dåapmoe
beetnehnuhtjedh
baenie-saehpie
alternative
åejvie-ulmie
vuartoe
ulmiedåehkie
tempele
suffïkse
suffikse
saemienööhpehtimmie
predikate
politije
maadthööhpehtimmie
kultuvreraerie
gïelebiesie
gærhkoedepartemente
daata
aalkoetsiehkie
øvtiedimmie-vuepsie
åejvieladtje
åejvie-diedïedte
vuemsie
vierhtege
vaerieståvroe
tjaaleldahke
svienskegïele
soejkesjeboelhke
skuvlen-åejvie
salme
radijove
raajesetseegkeme
prosenteraaste
prograamme
miehtjiesdajve
maana-baelie
maanagïerte-laake
lohkehtæjjaööhpehtimmie
loffe
learoe-plaane
learoegærja
kvalitete
kultuvre-aerpielæstoe
kommisjovne
jielemevuekie
gïelebarkoe
gåetiegielie
ealamadtje
deelegasjovne
daataviermie
bigkemelaake
ålja
åajva
vïedteldahke
vearbe
skïemtjelasse
saedtiepliehkie
jielijeguvvie
jearsoesvoete
gaske-biejjie
faage-aamhtesh
budsjedtebarkoe
aktanidh
aajma
viermiesijjie
variasjovne
vaerie-ståvroe
soptsestimmie-vuekie
saemien-gielie
saemienlåhkoe
saemieskuvle
saaka
redtiesvïhtjedh
onne-vïelle
noerhte-saemie
maanagaertie
learoeplaane
kuvsje-plaane
kultuvreövtiedimmie
konsultasjovnelaake
kaarhtedidh
ietnien-gielesijjie
gïeleööhpehtimmie
gærja-gåetie
grammatihke
giesie-eejehtimmie
gaskesadtemevuekie
domtese
dajvevaarjelidh
dajvenuhtjedh
daerpies-voete
daatabaase
båatsoeburrie-skuvle
båatsoeburrievaerie
burrie
baenie-dåaktere
vijrebeööhpehtimmie
vieksiesvoete
toelhke
seksjovne
saemienskuvle
saemiensiebrie
saemienkultuvre
saemiedigkieveeljeme
posisjovne
plaane
pedagogijhke
nummere
maana-gïerte
lokale
konsonante
konklusjovne
kapïhtele
kaarhte
jearsoe
iemiealmetje
iemie
hearlohke-voete
gïermesje
gïeledajve
gaskesadtemegïele
båatsoe-sïjte
øvtiedimmievuepsie
ööhpehtimmiegoevtese
åårganisasjovnenummere
årrome-sijjie
åarjelsaemiendajve
visjovne
vierhtiegïele
vierhtiegielie
veeljemebiejjie
unnebegïele
tseegkemefoente
tjieltelaake
tjeengkere
tjaktjemojhtese
teekstebarkoe
skåårvedh
skoltesaemie
siemes-voete
semantihke
sekretarijate
saemie-eatneme
representasjovne
referaate
reerenassehammoe
redtiesvihtjedh
reakta-utnedh
reakta-tsiehkie
reaktasijjie
raadijove
paarre-bielie
nännoestimmie-dåehkie
noere-skuvle
minerale
miehtjies-dajve
miehtjiesdajve-dåapmoestovle
miehtjie
matematihke
mandaatedajve
maanajgïerteaajhtere
maana-skuvle
maana-giertie
maadtoelaake
maadth-repmie
läjkomeprievie
laeviehtimmie-njoelkedasse
kultuvrejïele
kultuvregoevtese
kultuvrebarkoe
konto
komparative
kapihtele
kaarretje
integrasjovne
gïete-tjengkere
gïeleutnedh
gïelemålsodh
guhkiesmïere
gueredh
goevtegeajnoe
gielejarnge
gielebarkoe
geografije
gaskese-tjaalege
gaskerïjhke
feestivale
faamoe-utnedh
ektievoetedajve
ektiebarkoeåårgane
dïevestjåanghkoe
draamateekste
darjomejaepie
dajve-ektievoete
dajve-aajhtere
daataprogramme
båatsoe-almetje
byjjehtimmie
boeltaajja
bievnesitjaalege
beetneh-bongke
beetnehreeredh
beagkoehtimmienjoelkedasse
barkoevedtije-diedïedte
baeniestarne
baakoesyjjehtimmie
almetjereakta
almetjebaernie
aarh-skuvle
aalkoe-almetjereakta
aalkoeskuvle
aajhtere-åårgane
aajhterereereme
1-provgramme
1-dajve
guektiengielevoete
ööhpehtimmiegoevte
åajvoe
tjeahpoe
substantivehammoe
siente
pedagogihke
ovlæhkoe
noerhte-laante
njaltje
mïerhkebiejjie
maahtoelutnjedh
lohkehtæjja-skuvle
jurrie
jolleskuvle
jaevriebeala
ietniegïele
guektiengïelevoete
gaskestidh
gaevnieh
ektiebarkoelatjkoe
dåeriesmoeretsiehkie
dokumente
derivasjovne
departemeente
daaroen-gïele
båatsoe-saemie
byjjesreereme
byjjenimmiejarnge
barkoelaavenjasse
almetjetjïerte
aerpievuekie
øøhpehtimmievierhtie
øøhpehtimmiegoevtese
ööhpehtimmieradijove
åålmehreaktoe
åssjele
årrajaevrie
ålmareakta
åesiemaaksoe
åejvie-hearra
voeressujhtedh
vihties-plaane
viermievïerhke
viehkiedïrrege
vellie
vaarjelimmiesoejkesje
vaajmoegïele
unnebelåhkoemaana
unnebelåhkoegielie
tjoejemolsemålsodh
tjaelemegïele-evtiedimmie
terme
teorije
synonyme
skåake-ståvroe
skuvle-åejvie
skuvle-laake
skuvleööhpehtimmie
skuvlereereme
skaavhte-baenie
sjieredåapmoestovle
sjidtemejarnge
siejhmefaage
sektovre
saerniebarkoe
saemien-skuvle
saemiengïeleööhpehtimmie
saemiengïelelåhkoe
saemieradijove
saemiegïele
saelhtiejaevrie
saelhtiejaevrie
reereme-dajve
ratifikasjovne
radijoveprovgramme
politijedepartemente
pihtesaemiengïele
nænnoestimmie-åårgane
nuelievaarjoe
noere-saemie
noerekonferanse
noerebaelie
nedte-sijjie
misjovne
ministere
miehtjiesdajvereakta
meavhkodh
markasaemie
mandaate-dajve
maanatjirkije
maanagïerte-maana
maaksoediedïedte
maahtoe-evtiedimmie
maahtoeövtiedimmie
maadthskuvlelohkehtidh
leehpe
laante-tjåanghkoe
laahpe
kåahperevïerhke
kåahperevierhke
kultuvre-gåetie
kultuvre-byjreske
kultuvrelahtese
kaarhtevierhke
jieleme-evtiedimmie
jiehtese
iktemierie
ietniengielie
håala
hoksehtimmiefaaleldahke
hiejmestaare
gïetegærja
gærhkoe-gaertene
gærhkoeraerie
gåvloe
gåetie-barkoe
gåetiesæjroe
gulliegievrie
gietedallemesoejkesje
gietegïele
giesie-mojhtese
giesiemojhtese
geajnoebeala
gaskesadtemeveadta
gaskebiejjiebeapmoe
fylhkengeajnoe
faageprievie
faagegievlie
ektiedimmiebarkoe
ektiebarkoelatjkedh
eatnemesåjhtoe
dajvisoejkesje
dajvireereme
daaroengielie
