ektine _ sammen med _ ektine dej almetjigujmie ; sammen med de folkene
aktene _ sammen med  _ aktene jupmele-aehtjine ; sammen med gudfader
gaskemsh _ seg mellom _ gaskemsh dej lea nimhtie ; i mellom dem er det slik

